sid,n_cand,n_keep,n_lowtissue,n_pen,frac_lowtissue,frac_keep,n_lost_cancer_tiles,max_lost_cancer,max_kept_cancer
026081211406,208,150,57,1,0.27403846153846156,0.7211538461538461,0,0.0,0.0
026dcf3b549e,109,67,32,8,0.29357798165137616,0.6146788990825688,4,8.2703,61.1893
0277b937ddc8,52,37,15,0,0.28846153846153844,0.7115384615384616,9,12.7243,62.8464
02805e3e20ef,251,191,60,0,0.23904382470119523,0.7609561752988048,9,12.7747,56.3721
0280f8b61277,132,96,36,0,0.2727272727272727,0.7272727272727273,4,3.833,50.7996
028dc05d52d1,206,157,49,0,0.23786407766990292,0.7621359223300971,17,15.448,64.0671
02a2dcd6ad8b,191,117,18,56,0.09424083769633508,0.612565445026178,6,4.5578,64.0884
02a3870e56db,176,112,40,24,0.22727272727272727,0.6363636363636364,0,0.0,0.0
02a7b258e875,151,115,36,0,0.23841059602649006,0.7615894039735099,4,7.1426,52.4231
02c2141567e5,144,101,41,2,0.2847222222222222,0.7013888888888888,12,9.3567,45.8496
02d302a8d723,197,127,56,14,0.28426395939086296,0.6446700507614214,16,18.2495,71.3379
02e57c6acba2,221,150,69,2,0.31221719457013575,0.6787330316742082,17,15.1596,61.1511
02e5b03f8ea7,117,76,25,16,0.21367521367521367,0.6495726495726496,0,0.0,29.8843
0325d6b77987,202,137,42,23,0.2079207920792079,0.6782178217821783,0,0.0,0.0
03426e9293f2,232,165,31,36,0.1336206896551724,0.7112068965517241,8,5.0125,72.3846
034add55dd71,197,148,49,0,0.24873096446700507,0.751269035532995,22,10.9055,74.6109
035a5208729e,119,77,36,6,0.3025210084033613,0.6470588235294118,0,0.0,0.0
035b1edd3d1a,140,105,35,0,0.25,0.75,0,0.0,0.0
0373ed8a095e,128,99,29,0,0.2265625,0.7734375,8,13.7756,75.7568
037504061b9f,97,57,15,25,0.15463917525773196,0.5876288659793815,0,0.0,0.0
037c18f1a1ec,132,88,44,0,0.3333333333333333,0.6666666666666666,3,5.2185,68.6752
037e64a6aadd,243,184,59,0,0.24279835390946503,0.757201646090535,35,14.3799,60.5377
037f29b7d624,213,129,26,58,0.12206572769953052,0.6056338028169014,0,0.0,0.0
03849b024390,153,110,43,0,0.28104575163398693,0.7189542483660131,1,1.8738,69.278
03a1deb18638,141,97,44,0,0.3120567375886525,0.6879432624113475,16,7.8354,55.687
03d147633eda,155,105,37,13,0.23870967741935484,0.6774193548387096,14,11.4517,63.9969
0402b113937f,197,151,46,0,0.233502538071066,0.766497461928934,16,14.1083,57.782
0403dcc49b14,183,137,44,2,0.24043715846994534,0.7486338797814208,4,4.8431,91.6626
04063850d065,46,30,16,0,0.34782608695652173,0.6521739130434783,0,0.0,32.6065
040847f88585,144,108,36,0,0.25,0.75,9,14.4913,56.3553
043489a629f6,151,111,39,0,0.2582781456953642,0.7350993377483444,5,14.357,60.2127
0446851f36b7,229,170,34,25,0.14847161572052403,0.74235807860262,13,11.7905,67.9749
044b0937a90e,132,88,44,0,0.3333333333333333,0.6666666666666666,12,8.136,46.8002
045abbf620e7,202,152,36,14,0.1782178217821782,0.7524752475247525,1,4.9988,34.3765
0465f4b248a5,234,190,44,0,0.18803418803418803,0.811965811965812,7,7.9895,69.6838
046b35ae9537,90,49,20,21,0.2222222222222222,0.5444444444444444,2,18.9545,72.1436
046bac77a58c,81,46,11,24,0.13580246913580246,0.5679012345679012,7,8.8303,54.6951
04875b8121c9,224,150,74,0,0.33035714285714285,0.6696428571428571,32,14.4928,97.5677
04952a4d6f03,108,76,27,5,0.25,0.7037037037037037,0,0.0,0.0
049813f2cb40,185,145,40,0,0.21621621621621623,0.7837837837837838,0,0.0,85.4279
04e31b936f51,127,96,31,0,0.2440944881889764,0.7559055118110236,0,0.0,11.8286
04f28a8f3943,173,116,36,21,0.20809248554913296,0.6705202312138728,1,3.7659,10.9207
04fb016f937a,228,149,39,40,0.17105263157894737,0.6535087719298246,6,10.3317,60.2356
05042f83b5d0,156,95,58,3,0.3717948717948718,0.6089743589743589,7,9.7885,43.2632
051a2228aadb,283,201,82,0,0.28975265017667845,0.7102473498233216,31,10.3333,46.0846
0550b23f2908,195,149,46,0,0.2358974358974359,0.764102564102564,13,9.8541,60.7742
0592a76b2a23,66,39,27,0,0.4090909090909091,0.5909090909090909,3,3.2379,45.5078
059ab4f2222a,248,179,69,0,0.2782258064516129,0.7217741935483871,0,0.0,6.6025
059cbf902c5e,167,112,53,2,0.31736526946107785,0.6706586826347305,0,0.0,0.0
05a377208625,175,112,44,19,0.25142857142857145,0.64,8,7.8537,63.3621
05b09773ad1b,211,165,26,20,0.12322274881516587,0.7819905213270142,2,6.3461,57.8705
05c4384280a4,232,155,77,0,0.33189655172413796,0.6681034482758621,1,8.6975,45.4651
05cc3233dcb5,96,67,29,0,0.3020833333333333,0.6979166666666666,0,0.0,0.0
05f4e9415af9,242,190,52,0,0.21487603305785125,0.7851239669421488,3,3.6469,55.8594
05f79307ac65,67,47,20,0,0.29850746268656714,0.7014925373134329,0,0.0,10.4889
060121a06476,36,24,12,0,0.3333333333333333,0.6666666666666666,4,9.726,39.386
060f04c4f2dc,91,52,17,22,0.18681318681318682,0.5714285714285714,11,7.9025,86.2411
061054331a95,96,66,25,5,0.2604166666666667,0.6875,12,11.2473,67.3447
06334c520d4b,81,61,20,0,0.24691358024691357,0.7530864197530864,3,2.9343,52.9587
063528c18968,124,78,37,9,0.29838709677419356,0.6290322580645161,13,9.6634,61.8454
063db632c0ad,170,119,51,0,0.3,0.7,0,0.0,0.0
06509deacf57,188,147,41,0,0.21808510638297873,0.7819148936170213,0,0.0,49.0585
06636cdd4304,162,121,41,0,0.25308641975308643,0.7469135802469136,6,6.6483,35.0159
0674b9bfe2d2,199,126,41,32,0.20603015075376885,0.6331658291457286,6,12.9486,61.5646
067a25212e4e,207,151,56,0,0.27053140096618356,0.7294685990338164,21,17.4255,83.3008
068b0e3be4c3,217,153,49,15,0.22580645161290322,0.7050691244239631,15,11.0809,79.1031
06977be07ef2,22,16,6,0,0.2727272727272727,0.7272727272727273,0,0.0,0.0
06a0cbd8fd63,74,58,16,0,0.21621621621621623,0.7837837837837838,0,0.0,0.0
06a7dc123ee1,204,163,33,8,0.16176470588235295,0.7990196078431373,11,9.1202,81.7505
06bf945aaacb,144,110,34,0,0.2361111111111111,0.7638888888888888,8,11.438,64.8209
06cab87cd7a1,163,125,38,0,0.2331288343558282,0.7668711656441718,19,11.0458,77.5131
06d4ebd3d0ee,172,102,45,25,0.2616279069767442,0.5930232558139535,8,11.026,56.4377
06eda4a6faca,130,98,32,0,0.24615384615384617,0.7538461538461538,0,0.0,0.0
06ef45756a44,152,112,40,0,0.2631578947368421,0.7368421052631579,0,0.0,0.0
06ef49a7b77e,124,77,26,21,0.20967741935483872,0.6209677419354839,0,0.0,0.0
06fb67ffa126,194,130,42,22,0.21649484536082475,0.6701030927835051,6,7.3303,46.5469
06fc0c8a36a8,125,81,44,0,0.352,0.648,17,9.1568,64.7079
06fe0864a99a,271,150,29,92,0.1070110701107011,0.5535055350553506,5,11.9019,89.5981
070f9f27db2d,96,52,19,25,0.19791666666666666,0.5416666666666666,3,4.0451,41.9418
07106a451fde,220,163,57,0,0.2590909090909091,0.740909090909091,6,8.5571,49.118
072f1b574057,123,91,32,0,0.2601626016260163,0.7398373983739838,3,8.1818,66.3071
072fc649567e,118,80,35,3,0.2966101694915254,0.6779661016949152,0,0.0,0.0
074c3e015256,154,79,6,69,0.03896103896103896,0.512987012987013,0,0.0,68.4128
074d9f9ceede,208,143,56,9,0.2692307692307692,0.6875,15,8.4732,82.3624
076737b247ce,136,99,37,0,0.27205882352941174,0.7279411764705882,13,14.0701,64.473
07697ea97bfb,167,107,60,0,0.3592814371257485,0.6407185628742516,32,14.4485,74.9435
07809f40e0b2,127,85,42,0,0.33070866141732286,0.6692913385826772,0,0.0,0.0
0794712a5fdd,213,159,51,2,0.23943661971830985,0.7464788732394366,11,11.4349,54.9316
079fed45c08f,189,130,50,9,0.26455026455026454,0.6878306878306878,16,5.6824,76.7075
07a14fa5b8f7,9,6,3,0,0.3333333333333333,0.6666666666666666,3,17.3126,63.8535
07a9fa12ce78,131,98,33,0,0.25190839694656486,0.7480916030534351,15,14.2303,58.075
07aa24f15ce0,188,152,36,0,0.19148936170212766,0.8085106382978723,13,13.3759,86.9125
07aa4a923f58,78,51,27,0,0.34615384615384615,0.6538461538461539,10,10.3668,45.1431
07afad227154,188,123,37,28,0.19680851063829788,0.6542553191489362,4,11.6562,74.6094
07d600e3fcbe,222,168,54,0,0.24324324324324326,0.7567567567567568,26,12.4939,78.2822
07e16ae47a51,246,184,62,0,0.25203252032520324,0.7479674796747967,0,0.0,21.8185
080b829ec595,215,181,32,2,0.14883720930232558,0.8418604651162791,4,11.7935,47.9904
081326594b29,306,214,40,52,0.13071895424836602,0.6993464052287581,1,3.3157,32.3761
08134913a9aa,229,151,20,58,0.08733624454148471,0.6593886462882096,3,5.5618,71.0861
082fd0a9f827,250,151,12,87,0.048,0.604,0,0.0,49.791
08347bf830e7,167,111,50,6,0.2994011976047904,0.6646706586826348,5,13.0219,65.683
0838c82917cd,314,169,144,1,0.4585987261146497,0.5382165605095541,0,0.0,1.6541
083ab9e2c95f,238,176,49,13,0.20588235294117646,0.7394957983193278,0,0.0,32.2861
0841bb278823,189,135,54,0,0.2857142857142857,0.7142857142857143,24,13.2156,76.9241
08459aaedfda,224,167,57,0,0.2544642857142857,0.7455357142857143,12,9.7656,75.9186
0849749bd2b9,134,88,41,5,0.30597014925373134,0.6567164179104478,0,0.0,0.0
0873fff5fceb,131,93,38,0,0.2900763358778626,0.7099236641221374,6,9.4437,79.2679
0880e72eb2ad,175,96,42,37,0.24,0.5485714285714286,5,10.968,78.8223
08a8d48ec979,149,111,38,0,0.2550335570469799,0.7449664429530202,0,0.0,0.0
08ab45297bfe,114,73,14,27,0.12280701754385964,0.6403508771929824,4,5.1956,61.9812
08abd36dda08,163,120,37,6,0.22699386503067484,0.7361963190184049,9,7.9727,63.3286
08b04f439978,154,109,28,17,0.18181818181818182,0.7077922077922078,7,9.3079,58.5419
08b92dd5bd51,169,119,50,0,0.2958579881656805,0.7041420118343196,8,9.1141,66.2125
08e7beb9ca5d,239,183,56,0,0.23430962343096234,0.7656903765690377,1,1.4252,66.8335
08e90c44bcfe,146,89,32,25,0.2191780821917808,0.6095890410958904,2,5.072,37.323
08f055372c7b,143,98,45,0,0.3146853146853147,0.6853146853146853,21,17.1097,65.8035
08fc8cebe98e,161,109,52,0,0.32298136645962733,0.6770186335403726,19,11.676,56.0852
091b756470ae,225,173,52,0,0.2311111111111111,0.7688888888888888,26,13.7772,81.1417
091e4c8eda34,203,137,24,42,0.11822660098522167,0.6748768472906403,4,9.1644,75.4929
09271f0045c1,56,33,22,1,0.39285714285714285,0.5892857142857143,0,0.0,0.0
09320344c2ed,243,180,63,0,0.25925925925925924,0.7407407407407407,12,9.1415,62.1765
09471c7d6b4a,191,157,34,0,0.17801047120418848,0.8219895287958116,11,13.5223,63.7054
09509b4bff15,141,99,42,0,0.2978723404255319,0.7021276595744681,0,0.0,34.9701
095d32f7716c,226,175,47,4,0.2079646017699115,0.7743362831858407,15,8.1741,49.3271
095fc4659130,134,82,24,28,0.1791044776119403,0.6119402985074627,5,5.0522,72.8119
096e33f3e373,213,151,62,0,0.29107981220657275,0.7089201877934272,4,4.2786,56.8008
0981f547380b,206,161,45,0,0.21844660194174756,0.7815533980582524,4,4.8996,65.1443
098f7f7024f5,74,50,24,0,0.32432432432432434,0.6756756756756757,3,2.3071,24.8779
099a334f7290,100,43,14,43,0.14,0.43,0,0.0,68.1259
09a0147a0d75,204,116,43,45,0.2107843137254902,0.5686274509803921,1,2.9785,66.9617
09a20094c83e,154,123,28,3,0.18181818181818182,0.7987012987012987,5,11.6257,70.2454
09a9f7497e6b,138,105,33,0,0.2391304347826087,0.7608695652173914,12,13.7375,70.8862
09aa67c5eb01,237,131,33,73,0.13924050632911392,0.5527426160337553,0,0.0,56.7886
09af7bbed139,182,103,46,33,0.25274725274725274,0.5659340659340659,0,0.0,0.0
09d4be69a233,145,113,32,0,0.2206896551724138,0.7793103448275862,0,0.0,0.0
09e7ee8f114d,91,64,27,0,0.2967032967032967,0.7032967032967034,6,13.1012,82.6584
09f37474deb2,83,56,27,0,0.3253012048192771,0.6746987951807228,5,16.0812,66.6153
09f734438a9b,171,95,12,64,0.07017543859649122,0.5555555555555556,3,4.9973,60.9039
0a0f8e20b122,97,72,23,2,0.23711340206185566,0.7422680412371134,9,7.2388,81.5308
0a107c91216d,42,30,12,0,0.2857142857142857,0.7142857142857143,2,6.0623,48.7961
0a336d5bc71e,211,123,12,76,0.05687203791469194,0.5829383886255924,2,3.3859,59.9792
0a4b7a7499ed,46,21,20,5,0.43478260869565216,0.45652173913043476,0,0.0,0.0
0a5b11fe9c14,151,103,40,8,0.26490066225165565,0.6821192052980133,13,13.8565,75.4883
0a81500dc48b,189,142,47,0,0.24867724867724866,0.7513227513227513,29,17.5842,90.123
0a836ea85157,132,99,33,0,0.25,0.75,8,8.0536,47.7249
0a848ccbbb06,219,167,52,0,0.2374429223744292,0.7625570776255708,5,8.2108,90.9531
0a93d9a674e3,169,124,45,0,0.26627218934911245,0.7337278106508875,11,8.2748,58.9264
0a94d55951bd,134,107,27,0,0.20149253731343283,0.7985074626865671,8,10.4416,69.7968
0a97bd73cd15,130,95,35,0,0.2692307692307692,0.7307692307692307,0,0.0,0.0
0aa144fb4a65,139,102,37,0,0.26618705035971224,0.7338129496402878,16,17.4103,86.9629
0aa6472328e4,201,143,56,2,0.27860696517412936,0.7114427860696517,3,5.1224,51.004
0ac7f7d40895,100,61,39,0,0.39,0.61,0,0.0,0.0
0ace5c189da8,172,127,40,5,0.23255813953488372,0.7383720930232558,1,4.3472,36.7722
0ad4f3538ae6,237,165,68,4,0.2869198312236287,0.6962025316455697,4,3.009,61.7737
0b1775f64d77,92,66,26,0,0.2826086956521739,0.717391304347826,9,12.0377,61.3724
0b180497f297,160,116,44,0,0.275,0.725,9,10.1715,72.9691
0b2cba7e97da,121,101,20,0,0.1652892561983471,0.8347107438016529,7,7.9834,69.4199
0b373388b189,181,138,43,0,0.23756906077348067,0.7624309392265194,14,14.8514,88.6337
0b4fba162fc1,244,193,46,5,0.1885245901639344,0.7909836065573771,6,2.4078,62.6205
0b5179561171,129,79,50,0,0.3875968992248062,0.6124031007751938,15,15.7791,66.2399
0b60ac39ce97,173,126,42,5,0.24277456647398843,0.7283236994219653,13,5.2139,50.914
0b6a90e1c27b,74,52,22,0,0.2972972972972973,0.7027027027027027,0,0.0,0.0
0b73719f81c7,208,134,32,42,0.15384615384615385,0.6442307692307693,7,5.5588,73.2666
0b90de9a5e88,202,154,48,0,0.2376237623762376,0.7623762376237624,6,8.2169,55.8487
0ba540dcef7c,196,148,48,0,0.24489795918367346,0.7551020408163265,3,10.1181,48.9075
0bb772b06c9e,196,72,12,112,0.061224489795918366,0.3673469387755102,0,0.0,66.5695
0bbbb6734f72,202,158,31,13,0.15346534653465346,0.7821782178217822,9,13.3621,71.9284
0bc1fdd9a51c,295,212,77,6,0.26101694915254237,0.7186440677966102,1,1.5884,22.1893
0bc3b1ea9b5e,174,133,30,11,0.1724137931034483,0.764367816091954,10,6.8146,67.1188
0bc4086b7c5e,171,119,51,1,0.2982456140350877,0.695906432748538,15,10.2081,58.7601
0bce55d17bcc,68,49,19,0,0.27941176470588236,0.7205882352941176,11,11.9125,57.901
0bd0dd2e0b71,210,143,62,5,0.29523809523809524,0.680952380952381,8,9.0134,52.5467
0bd231c85b26,25,15,10,0,0.4,0.6,0,0.0,36.9247
0bdbe5375568,110,74,36,0,0.32727272727272727,0.6727272727272727,5,3.1021,40.5518
0bfcecec15bb,147,116,30,1,0.20408163265306123,0.7891156462585034,1,2.3666,68.1839
0c16dad59425,190,148,42,0,0.22105263157894736,0.7789473684210526,15,10.6979,61.7996
0c2134566928,209,150,52,7,0.24880382775119617,0.7177033492822966,8,6.4362,43.7424
0c26185c4a50,159,96,54,9,0.33962264150943394,0.6037735849056604,17,11.9476,49.1547
0c4c5c059809,228,153,69,6,0.3026315789473684,0.6710526315789473,4,4.4678,47.3602
0c514de56dcd,177,135,35,7,0.1977401129943503,0.7627118644067796,3,6.1981,62.1216
0c5c2d16c0f2,143,95,16,32,0.11188811188811189,0.6643356643356644,1,1.6586,54.0543
0c6258076665,285,196,67,22,0.23508771929824562,0.6877192982456141,15,11.9476,50.1022
0c6c14ee4d82,251,169,42,40,0.16733067729083664,0.6733067729083665,2,4.5456,45.8069
0c74f7e82d44,185,140,43,2,0.23243243243243245,0.7567567567567568,4,6.3629,57.2372
0c77493e455b,255,201,51,2,0.2,0.788235294117647,25,12.6785,83.3206
0c81adeb18c3,182,120,59,3,0.3241758241758242,0.6593406593406593,0,0.0,0.0
0c841425404c,138,98,40,0,0.2898550724637681,0.7101449275362319,0,0.0,0.0
0c86c8cc04ce,265,212,53,0,0.2,0.8,3,3.6255,35.1257
0c884ecf6571,263,207,25,31,0.09505703422053231,0.7870722433460076,2,2.0569,80.5954
0c88d7c7033e,170,138,32,0,0.18823529411764706,0.8117647058823529,2,3.6713,50.8011
0cb2ce337d1a,110,82,28,0,0.2545454545454545,0.7454545454545455,8,12.5336,44.4977
0cb39c742b3e,214,152,59,3,0.2757009345794392,0.7102803738317757,1,3.4378,25.2029
0cb3f826fc87,165,128,37,0,0.22424242424242424,0.7757575757575758,5,4.599,60.0342
0cbfd6b7a0e0,145,115,30,0,0.20689655172413793,0.7931034482758621,10,14.1907,85.6598
0cc2bae4e8f8,97,64,33,0,0.3402061855670103,0.6597938144329897,0,0.0,0.0
0cee71ab5742,191,140,51,0,0.2670157068062827,0.7329842931937173,8,15.1459,58.3725
0d1e1a99a3ba,164,125,39,0,0.23780487804878048,0.7621951219512195,0,0.0,39.8422
0d3159cd1b24,177,133,44,0,0.24858757062146894,0.751412429378531,6,7.4493,61.9461
0d495f9f23ca,201,149,52,0,0.25870646766169153,0.7412935323383084,0,0.0,0.0
0d66a26a030e,172,121,49,2,0.28488372093023256,0.7034883720930233,5,3.1219,44.0323
0d78804d555b,126,84,42,0,0.3333333333333333,0.6666666666666666,15,10.997,60.6613
0da0915a236f,11,6,1,4,0.09090909090909091,0.5454545454545454,0,0.0,92.2836
0db426156d58,175,127,48,0,0.2742857142857143,0.7257142857142858,0,0.0,0.0
0dccbb58add8,188,140,48,0,0.2553191489361702,0.7446808510638298,3,7.0145,52.4643
0dfaba8f37fa,154,122,32,0,0.2077922077922078,0.7922077922077922,2,11.4517,74.147
0e1f3c283a57,129,82,34,13,0.26356589147286824,0.6356589147286822,2,7.0145,68.9835
0e204892570c,204,156,43,5,0.2107843137254902,0.7647058823529411,15,15.3366,83.5663
0e305c4d31f4,148,105,43,0,0.2905405405405405,0.7094594594594594,12,7.6096,76.8494
0e347ad243e4,137,91,46,0,0.3357664233576642,0.6642335766423357,9,5.6259,60.0388
0e46418f9389,218,169,46,3,0.21100917431192662,0.7752293577981652,26,15.8463,67.2455
0e492e8df484,77,55,22,0,0.2857142857142857,0.7142857142857143,11,15.9439,85.0739
0e4e6e275dbd,160,112,48,0,0.3,0.7,0,0.0,31.044
0e50d62c5d76,44,28,16,0,0.36363636363636365,0.6363636363636364,2,3.7827,36.261
0e5ede875ccd,171,130,41,0,0.23976608187134502,0.7602339181286549,7,6.604,70.7138
0e65f90aa2b3,24,17,7,0,0.2916666666666667,0.7083333333333334,0,0.0,0.0
0e6ba66e0b6f,191,146,45,0,0.2356020942408377,0.7643979057591623,22,18.1641,92.3172
0e8b496c4be0,226,159,67,0,0.29646017699115046,0.7035398230088495,3,13.8138,49.6048
0eb4c1db923d,184,140,44,0,0.2391304347826087,0.7608695652173914,9,12.5793,73.1079
0ebca9447d84,152,94,58,0,0.3815789473684211,0.618421052631579,13,25.9827,63.7878
0ec18b204bb9,149,52,7,90,0.04697986577181208,0.348993288590604,1,5.4504,77.3651
0ec5bf6cbb0a,153,128,25,0,0.16339869281045752,0.8366013071895425,3,6.781,66.8884
0ecca6926d33,104,68,36,0,0.34615384615384615,0.6538461538461539,2,8.5754,47.11
0ef695aff0f8,105,86,19,0,0.18095238095238095,0.819047619047619,0,0.0,0.0
0efdb66c93d6,36,25,11,0,0.3055555555555556,0.6944444444444444,1,1.2405,31.0699
0f09d54c1c74,71,38,33,0,0.4647887323943662,0.5352112676056338,1,1.3153,30.7755
0f1ea91c9f91,17,7,10,0,0.5882352941176471,0.4117647058823529,0,0.0,0.0
0f374b1b7eda,90,67,23,0,0.25555555555555554,0.7444444444444445,9,5.8914,71.9788
0f38ed280080,200,145,55,0,0.275,0.725,10,5.1559,56.4301
0f5c20d93b7c,203,138,65,0,0.32019704433497537,0.6798029556650246,0,0.0,0.0
0f83710916fc,197,147,48,2,0.2436548223350254,0.7461928934010152,23,10.4477,79.57
0f871f7b53fe,152,112,40,0,0.2631578947368421,0.7368421052631579,2,5.0217,53.3279
0f958c8bbbc8,176,132,31,13,0.17613636363636365,0.75,7,9.9197,74.5422
0fb3565c36d9,230,182,44,4,0.19130434782608696,0.7913043478260869,4,5.2307,70.343
0fbd680b68f4,131,97,34,0,0.2595419847328244,0.7404580152671756,10,15.9836,55.5481
0fcc5673242a,183,143,40,0,0.2185792349726776,0.7814207650273224,9,17.1143,81.5277
0febce723014,133,90,34,9,0.2556390977443609,0.6766917293233082,0,0.0,0.0
0feceea98388,144,115,29,0,0.2013888888888889,0.7986111111111112,3,8.7799,81.4301
0fee48bfc0a5,224,182,42,0,0.1875,0.8125,7,8.4427,56.7154
10218e6dc6a4,159,119,40,0,0.25157232704402516,0.7484276729559748,19,10.3027,58.6914
102457e53876,121,93,24,4,0.19834710743801653,0.768595041322314,7,6.4835,64.386
103b9b34a5c6,170,108,38,24,0.2235294117647059,0.6352941176470588,0,0.0,0.0
105cbd187035,211,157,54,0,0.2559241706161137,0.7440758293838863,3,6.6422,64.7568
107694232cb0,248,153,56,39,0.22580645161290322,0.6169354838709677,12,10.9497,72.4213
108f2256764d,184,113,49,22,0.266304347826087,0.6141304347826086,10,6.7154,63.0112
1090bc9626ae,123,85,35,3,0.2845528455284553,0.6910569105691057,10,9.1522,70.105
10a8a9a745a9,201,115,22,64,0.10945273631840796,0.572139303482587,1,2.1408,54.6646
10bf7780fc65,203,142,61,0,0.30049261083743845,0.6995073891625616,9,10.8643,44.9066
10c7898fb3c6,47,33,14,0,0.2978723404255319,0.7021276595744681,1,5.5969,29.2313
10cb295e2db9,176,126,50,0,0.2840909090909091,0.7159090909090909,0,0.0,0.0
10cc280acc57,214,135,14,65,0.06542056074766354,0.6308411214953271,0,0.0,59.0332
10ce72448dc8,144,84,42,18,0.2916666666666667,0.5833333333333334,4,6.4178,49.5361
10d22d845b6b,152,94,30,27,0.19736842105263158,0.618421052631579,4,6.4316,64.6439
10d3ed411fb2,220,163,37,20,0.16818181818181818,0.740909090909091,18,10.0952,66.5924
10dc2544e17f,181,138,38,5,0.20994475138121546,0.7624309392265194,9,9.0881,61.8774
10dd67ea8e8f,156,109,44,3,0.28205128205128205,0.6987179487179487,15,10.3714,53.5492
110c38159f8c,253,197,39,17,0.1541501976284585,0.7786561264822134,0,0.0,34.8343
111b574b0f3b,101,70,28,3,0.27722772277227725,0.693069306930693,17,13.3759,74.7086
11253234dfdb,149,112,37,0,0.2483221476510067,0.7516778523489933,11,8.6487,66.4841
112736e8b787,103,71,18,14,0.17475728155339806,0.6893203883495146,4,7.3029,63.7573
11312ffaf33b,241,173,68,0,0.2821576763485477,0.7178423236514523,0,0.0,0.0
1131645a3637,118,76,34,8,0.288135593220339,0.6440677966101694,3,2.1103,67.1097
1141ca7040f9,79,58,21,0,0.26582278481012656,0.7341772151898734,6,8.3557,59.137
114db3f43c4a,317,209,92,16,0.2902208201892745,0.6593059936908517,22,20.369,76.9775
115bd4dfe4bf,156,113,37,6,0.23717948717948717,0.7243589743589743,6,5.3848,50.4944
