id_a,id_b,cos,rank_ab,rank_ba,best_rank,isup_a,isup_b,tag,verdict
265e7f265773d27e1770a3cd3ce05677,a45b686526ef8327fbd9e8b770984567,0.9834742546081543,4,5,4,0,0,unknown r4,not_twin
621f180f39962cf8dc87f62cf681200b,8ca4eea53dab8fb41f2ba01deb4e84db,0.982205867767334,9,4,4,1,1,unknown r4,not_twin
0c4c5c0598098cb221d34dc154cca14f,8ca4eea53dab8fb41f2ba01deb4e84db,0.9821691513061523,4,5,4,1,1,unknown r4,not_twin
265e7f265773d27e1770a3cd3ce05677,4d1dc70143798d122476599ffc3df68b,0.9820384979248047,6,4,4,0,0,unknown r4,not_twin
1894dd1e67ddfc62a309e78ef7ffc5e3,66f5cc9041b6485114cf9555c31e908d,0.9820195436477661,5,4,4,0,0,unknown r4,not_twin
21f3767f9a827e5b9f64d2a47594ad27,265e7f265773d27e1770a3cd3ce05677,0.9814740419387817,4,7,4,0,0,unknown r4,not_twin
6e320ef7485ec6c55962007956985821,cee7b2752a60314af93ae14dae4124ec,0.9812300205230713,7,4,4,0,0,unknown r4,not_twin
11312ffaf33b8252eef70f9274d540ac,a45b686526ef8327fbd9e8b770984567,0.9800206422805786,4,10,4,0,0,unknown r4,not_twin
5edc82d679cc29b4d7720bdc45c1ad45,c20411ec6a9141978e0712711bdfe0f0,0.9796273112297058,8,4,4,0,0,unknown r4,not_twin
38a49c3566f387a867629c5f6c31a72a,cee7b2752a60314af93ae14dae4124ec,0.9799760580062866,8,5,5,0,0,unknown r5,not_twin
621f180f39962cf8dc87f62cf681200b,66cad79a848b2b9476a2517a80314327,0.9793144464492798,12,5,5,1,1,unknown r5,not_twin
06eda4a6faca84e84a781fee2d5f47e1,264e5e8732450598190acec51da65cdc,0.9788986444473267,6,5,5,0,0,unknown r5,not_twin
1894dd1e67ddfc62a309e78ef7ffc5e3,21f3767f9a827e5b9f64d2a47594ad27,0.9788445234298706,11,5,5,0,0,unknown r5,not_twin
310c156419ea422872c92052fddd902b,91dd982fbff7aa72802fbd7391cd2eff,0.9787835478782654,7,5,5,0,0,unknown r5,not_twin
3d334ec1be0544fd6fff794a77631eef,6f5722cf3b8e5a90dc1e0eff127c4632,0.9781959652900696,5,6,5,0,0,unknown r5,not_twin
11312ffaf33b8252eef70f9274d540ac,80645c22c26e113e14fd16a0fa837f54,0.9779532551765442,11,5,5,0,0,unknown r5,not_twin
4a3e6e77b42a7e8f8b2dec472667bdbe,5e063bb2352ec2d6dfefa038d9bcb70d,0.9779455661773682,6,5,5,1,1,unknown r5,not_twin
07106a451fdebeaa73f2db13f295bfb1,149fd3c5d3ede543589633ea0e711c24,0.9778980016708374,5,9,5,1,1,unknown r5,not_twin
66f5cc9041b6485114cf9555c31e908d,85b7018a9e5287342a1392fb02ce24a1,0.9778674840927124,7,5,5,0,0,unknown r5,not_twin
