slide_id,category,pyramid_level,downsample_factor,background_pct_l0,background_pct_pyr,background_diff_pp,background_l0_px,background_pyr_px,stroma_pct_l0,stroma_pct_pyr,stroma_diff_pp,stroma_l0_px,stroma_pyr_px,benign_pct_l0,benign_pct_pyr,benign_diff_pp,benign_l0_px,benign_pyr_px,g3_pct_l0,g3_pct_pyr,g3_diff_pp,g3_l0_px,g3_pyr_px,g4_pct_l0,g4_pct_pyr,g4_diff_pp,g4_l0_px,g4_pyr_px,g5_pct_l0,g5_pct_pyr,g5_diff_pp,g5_l0_px,g5_pyr_px
f9404d959c3c8f6ece797507374dc386,high-grade,2,16.0,76.85965,76.864224,-0.004574,43822544,171192,21.867683,21.867367,0.000316,12468148,48703,1.048409,1.038524,0.009885,597764,2313,0.0,0.0,0.0,0,0,0.213805,0.21866,-0.004855,121904,487,0.010453,0.011225,-0.000772,5960,25
2e2d3ed2069dd704dde97c3d6d194b94,high-grade,2,16.0,65.564451,65.565378,-0.000927,114295728,446474,22.728877,22.732466,-0.003589,39622288,154799,0.070399,0.070489,-8.9e-05,122724,480,0.0,0.0,0.0,0,0,1.857277,1.859581,-0.002304,3237712,12663,9.778995,9.772086,0.006909,17047308,66544
b6d692b8d90c1bd9273bc36690796a8e,high-grade,2,16.0,78.354896,78.354899,-3e-06,108452604,423643,16.01785,16.018029,-0.000179,22170632,86605,0.00154,0.001665,-0.000124,2132,9,0.0,0.0,0.0,0,0,4.296051,4.29595,0.000101,5946252,23227,1.329662,1.329457,0.000205,1840412,7188
0e204892570cac5d8352fac145f1e66c,high-grade,2,16.0,78.795923,78.792201,0.003723,151046112,589996,17.339222,17.331063,0.008159,33238040,129775,0.260554,0.263088,-0.002533,499464,1970,0.0,0.0,0.0,0,0,0.711634,0.716747,-0.005112,1364152,5367,2.892666,2.896902,-0.004236,5545032,21692
f5440c7daa9981ec029c955999443de8,high-grade,2,16.0,90.532114,90.543916,-0.011802,195792716,764915,7.598231,7.588068,0.010163,16432604,64104,0.149566,0.149621,-5.5e-05,323464,1264,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1.720089,1.718395,0.001694,3720016,14517
1364c10e1e7f1ad0457f649a44d74888,high-grade,2,16.0,72.660826,72.680464,-0.019638,40714244,159083,23.216538,23.204952,0.011586,13008988,50791,0.128659,0.130208,-0.001549,72092,285,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,3.993976,3.984375,0.009601,2237956,8721
f964b9543ed1fcd3fcda049d744a50bd,high-grade,2,16.0,87.935551,87.934952,0.000599,213805232,835171,8.334313,8.328736,0.005577,20263928,79103,0.417737,0.420106,-0.002369,1015680,3990,3.262754,3.266615,-0.003861,7933012,31025,0.0,0.0,0.0,0,0,0.049646,0.049591,5.4e-05,120708,471
f40c17b3402d3937434e08f419ebb3d9,high-grade,2,16.0,83.618061,83.61859,-0.000529,185278572,723749,14.034264,14.031652,0.002612,31096732,121449,0.033063,0.032234,0.000829,73260,279,0.324634,0.326272,-0.001637,719316,2824,0.0,0.0,0.0,0,0,1.989977,1.991252,-0.001274,4409336,17235
72b46ce40040292c972e5c8fc84f857d,high-grade,2,16.0,91.226971,91.229558,-0.002587,338630780,1322814,6.97579,6.97518,0.00061,25893848,101139,0.628911,0.627731,0.00118,2334492,9102,0.817706,0.817526,0.00018,3035292,11854,0.0,0.0,0.0,0,0,0.350621,0.350004,0.000617,1301492,5075
6210281e975f738e94a5643d366e3b09,high-grade,2,16.0,87.640803,87.639995,0.000808,346168440,1352208,9.713441,9.710923,0.002518,38366680,149831,0.068636,0.067859,0.000778,271104,1047,0.169404,0.170068,-0.000664,669120,2624,0.0,0.0,0.0,0,0,2.407716,2.411155,-0.003439,9510128,37202
4520cef8cba78d1b80ed7de894c416b5,random,2,16.0,91.225778,91.231294,-0.005516,387770216,1514819,7.683411,7.680304,0.003107,32659608,127525,0.043874,0.043844,2.9e-05,186492,728,0.162498,0.161947,0.000551,690724,2689,0.88444,0.88261,0.001829,3759456,14655,0.0,0.0,0.0,0,0
6210ddaf9f3e233411579da0ea9a0484,random,2,16.0,87.788577,87.784355,0.004222,301358492,1177125,9.619505,9.622888,-0.003383,33021604,129036,0.70774,0.711522,-0.003782,2429512,9541,1.315464,1.313792,0.001672,4515692,17617,0.568714,0.567443,0.001271,1952268,7609,0.0,0.0,0.0,0,0
b4e5cfe0f1616168c2a4524202c85327,random,2,16.0,86.616739,86.622515,-0.005776,163824212,639981,10.300273,10.290519,0.009754,19481616,76028,0.016991,0.016919,7.2e-05,32136,125,2.776461,2.778906,-0.002445,5251312,20531,0.289536,0.291142,-0.001605,547620,2151,0.0,0.0,0.0,0,0
c8ea4dc8fe6c8348dcc4db4d01c0c84a,random,2,16.0,85.551487,85.543387,0.008099,200944208,784864,11.533531,11.535427,-0.001895,27090076,105838,0.515252,0.517164,-0.001912,1210228,4745,0.021604,0.021471,0.000133,50744,197,2.378127,2.382551,-0.004424,5585768,21860,0.0,0.0,0.0,0,0
cacf5097de53eb9db8566f3f48522bda,random,2,16.0,84.108271,84.111985,-0.003714,223736936,874011,11.732097,11.726641,0.005455,31208624,121852,0.181672,0.181214,0.000459,483268,1883,2.311368,2.310356,0.001012,6148484,24007,1.666592,1.669804,-0.003212,4433312,17351,0.0,0.0,0.0,0,0
10d3ed411fb2f2e829fd5574e76160cc,random,2,16.0,83.087027,83.086016,0.001011,215411772,841442,11.363182,11.363672,-0.000491,29460232,115084,0.244664,0.243598,0.001066,634316,2467,0.666919,0.663154,0.003765,1729056,6716,4.638209,4.64356,-0.005351,12025040,47027,0.0,0.0,0.0,0,0
c2ded53ea0656e34e71bc8993b90650d,random,2,16.0,78.103814,78.101649,0.002166,185805600,725783,16.190518,16.195442,-0.004923,38516544,150501,0.010468,0.011084,-0.000615,24904,103,5.689512,5.686123,0.00339,13535104,52840,0.005687,0.005703,-1.7e-05,13528,53,0.0,0.0,0.0,0,0
8546b73cb1496ba85aed909ee151290b,random,2,16.0,83.276954,83.272841,0.004114,157179988,613954,13.487324,13.481174,0.00615,25456472,99394,0.286526,0.287679,-0.001153,540800,2121,2.897169,2.904595,-0.007426,5468224,21415,0.052026,0.053711,-0.001685,98196,396,0.0,0.0,0.0,0,0
d5bf3e7b1d30bf762b03b60d88177b20,random,2,16.0,89.022191,89.022556,-0.000366,465565832,1818624,9.238564,9.239995,-0.00143,48315592,188762,0.050061,0.050125,-6.4e-05,261808,1024,0.564541,0.565721,-0.00118,2952420,11557,1.124643,1.121603,0.00304,5881628,22913,0.0,0.0,0.0,0,0
367f122e80bcd0bffc02f6a04c1d8234,random,2,16.0,81.072114,81.072491,-0.000378,78103188,305092,15.302186,15.300011,0.002176,14741808,57577,0.029866,0.030028,-0.000162,28772,113,0.0,0.0,0.0,0,0,3.595834,3.59747,-0.001636,3464152,13538,0.0,0.0,0.0,0,0
