id_a,id_b,cos,rank_a_to_b,rank_b_to_a,best_rank,mutual_top3,isup,split_a,split_b,cross_split,group_a,group_b,verdict
0db426156d588a5bb0b6036ac0465be0,e7ec6453face5f38923755adeeda2677,0.9773,5,2,2,False,0,train,test,True,1061,1160,
2a1a6a11e1eca0c26b102832b362a5f3,7234d2bf2df91f65e94e9ecc4ec5827d,0.9772,2,5,2,False,3,val,train,True,63,1132,
26a271cd2fdd034304566deb6bcfdafe,30a54c050c9eb531d2709b05ede484ce,0.9769,2,5,2,False,0,val,train,True,561,1183,
2afc7c9cd96699ecb7d88a8a6f387628,773e080a5857ba8c0669c435af2f1095,0.9768,2,2,2,True,0,test,train,True,42,911,
3659fd7b7207e8a9c2595c04aef3587e,7234d2bf2df91f65e94e9ecc4ec5827d,0.9768,2,7,2,False,3,val,train,True,63,1132,
497cc4009e9ae310b54de6412cbf8b4a,7bed5662489bd913da7e9792f715c1ed,0.9768,2,10,2,False,0,val,train,True,1129,1061,
05cc3233dcb5489d2333ee62339a3226,96336251e59082cafc68f051bc448392,0.9767,2,8,2,False,0,test,train,True,142,986,
42482ed25f9001ae44f6148432da91d7,8596a2f7e68a0e11a5653fb2457db08f,0.9765,3,2,2,True,5,test,train,True,1297,1179,
f2e0a29fb9a4f366cf2cd9c3e535e852,f9285fe284ce30f4d249635062db619a,0.9765,2,3,2,True,5,test,train,True,1297,1179,
7e8136cda906272497595cfb2088f4c4,f051273bd75ea902b5a163fa772decac,0.9764,4,3,3,False,5,val,train,True,1055,1266,
9e1d450a04253ab097601c9934fb5e6a,e7ec6453face5f38923755adeeda2677,0.9762,5,3,3,False,0,train,test,True,986,1160,
68e6f2bbdbb308624ed004484a1da2b8,eb2267a9e6ad63f9c9d1386b8688ccc0,0.9762,5,2,2,False,0,train,test,True,1026,1198,
06ef49a7b77e883f089cfdd80642d6f0,1dd805b0572515c3eac56564cddf181c,0.9761,3,3,3,True,0,train,val,True,200,97,
7ac75b11d166936c552ce33e170afd4a,bdcf536c984be757589271cd6a80066e,0.9761,3,3,3,True,1,train,test,True,911,726,
78e46173ed26ae262dc182236d017937,b440e34f6b1bc9abd0844a7ed19a6b45,0.9758,2,10,2,False,0,val,train,True,265,1132,
2b943dfeaa727bb8c9a6d8047350f57d,a36b91d58c9dae658708fac3ae14b969,0.9756,2,2,2,True,0,train,val,True,986,498,
789a88aa6341166fa4e3e08647d3d0e8,78e46173ed26ae262dc182236d017937,0.9756,9,3,3,False,0,train,val,True,1132,265,
f0197942d5cd986426ed3550e562d495,f1f9aea9e0bb9845704f9871346811aa,0.9756,2,2,2,True,0,train,test,True,911,1288,
1a09038fa60de37d48cdec28144cf98e,80f7cfb8ff20d9aa8eebcd541d0d5fd4,0.9755,2,4,2,False,4,test,train,True,1131,1185,
1a09038fa60de37d48cdec28144cf98e,bd86f3cec249d54cd3bd64763da8612b,0.9753,3,2,2,True,4,test,train,True,1131,1185,
49a0c86e2a3844bf8173990d5a5ad279,64836a799f01a425ff277deed36210cf,0.9752,2,2,2,True,0,val,train,True,265,1298,
abf5960dc8f8c6ba6b9d987a6dc603c0,e2876d9ebfde8e9b19701ac52b33dcd4,0.9752,12,2,2,False,0,train,test,True,824,1422,
4a2aec11bc2def9644ba9756f888ec24,8e8e466ee8644a88c48ff4decef87949,0.9751,2,2,2,True,0,test,train,True,1198,1026,
a2dc114f81b3e3357364a679f764f1a9,fd5604231cba46e8cb162a987e1fb3e4,0.9751,2,3,2,True,1,train,test,True,843,1435,
05c4384280a459216bca38ea2a9230ec,c4b83afb97bd83a7f8d83ce85cba4dc5,0.9751,5,2,2,False,1,train,val,True,445,851,
6eb1da90c9630e7c86f282c7eea4fe94,fc6a695ba44f4b64425c522f590bac48,0.9751,4,2,2,False,0,train,test,True,1301,1421,
0873fff5fceb087574469b8c9312eb3d,872dc7b2f6261284df1088e4ef2f8256,0.975,2,5,2,False,3,test,train,True,139,341,
441265c6b4598e9bcd10bc10eb6293cc,63ec04bc1c32dd36fc1bfa2846a0c98f,0.9749,2,3,2,True,3,val,train,True,274,995,
c907464eee427bcfd931eacfdf64a5d8,e2876d9ebfde8e9b19701ac52b33dcd4,0.9749,6,3,3,False,0,train,test,True,1290,1422,
1f86b6a526481bc5d2ca18d94f94f062,5534719b308ca4fb9f6662a81eb3e002,0.9748,2,4,2,False,0,val,train,True,231,1032,
6ea2b59534558f0d4b86d1a3891d611d,76541217a60105571466b759358ab8df,0.9748,3,2,2,True,0,train,test,True,470,258,
2c0e4995c6e82389dc1964ab5ac6a407,31a2c62376a98ed5062bbe72a92b3541,0.9747,2,2,2,True,1,train,test,True,518,389,
5acd1d61963dcd5d76670a85904815bf,df599862faf0cd78b880fa7f6644407e,0.9747,3,2,2,True,5,train,val,True,1266,1055,
baae8c3655a07ca543a7baa09b29bb52,ef77487acc19480876090652206c7e05,0.9747,5,3,3,False,0,train,test,True,1290,1251,
492bf65046ad2ac9f710930418b15a75,847db624a7a975df11caca3c97743359,0.9746,2,3,2,True,0,train,val,True,701,320,
30a54c050c9eb531d2709b05ede484ce,ab1f4d1aa956de906fa909f5fee8fbee,0.9746,9,2,2,False,0,train,val,True,1183,561,
3094f0e7f338e708620942f9f939c7cf,6ea2b59534558f0d4b86d1a3891d611d,0.9745,2,4,2,False,0,test,train,True,258,470,
6468063d0445cf082716fa830a507de2,fc547d2e786c1d19163f39dc576c0231,0.9745,2,7,2,False,0,val,train,True,186,911,
aa3d385635fdfe96d5194d0f0991b565,b801c926e3101268f1b816bd658bcc2f,0.9745,3,2,2,True,0,train,val,True,1083,665,
6b356b6a114a7663f2dbe960f217601c,cf28cb8b44e9549b766ece06085f647f,0.9744,5,2,2,False,4,train,test,True,327,895,
2d2b8462838f388306beebdc1e2994d0,d844c98b020831cd13e0dbed2f72e719,0.9743,2,2,2,True,1,val,test,True,48,1435,
f32688fe7e4e02caeb04361b8e8d223c,fc6a695ba44f4b64425c522f590bac48,0.9743,5,3,3,False,0,train,test,True,1301,1421,
0465f4b248a57b710e02d636d595bf94,7c440d8eb7dbda63b0b45b7773fa8279,0.9741,2,3,2,True,4,train,val,True,862,279,
4aac539cdb139eb4549013b591084c4f,bb6a5808a184427408654f15790faf50,0.9741,3,2,2,True,0,train,val,True,1083,698,
92e65cdbae33b846328b01eefe907fff,ab1f4d1aa956de906fa909f5fee8fbee,0.9741,2,3,2,True,0,train,val,True,1200,561,
5b4d05a2a6b70bbb2ee716979a7fb120,b801c926e3101268f1b816bd658bcc2f,0.9741,6,3,3,False,0,train,val,True,162,665,
cbff820f299b577e2af5ed136b6ef6eb,ee1605f1c4e68d7a52a07fae529e14f8,0.9741,4,2,2,False,5,train,val,True,1318,1232,
2d2b8462838f388306beebdc1e2994d0,7ac75b11d166936c552ce33e170afd4a,0.974,3,5,3,False,1,val,train,True,48,911,
84f098dc3c4bbd751d9f5e66098bbeca,97a072070bccd353b385580daed8b3f5,0.974,3,2,2,True,3,train,test,True,474,691,
0c16dad59425c963a1dba7a84638ece7,b13de5e3add05a187e393d0eef314891,0.974,4,3,3,False,3,train,test,True,751,611,
63ec04bc1c32dd36fc1bfa2846a0c98f,7a1b601b146af835cef2bc71ea599c65,0.9739,4,2,2,False,3,train,val,True,995,274,
1abb6882a5cba3d9c166736825bbe101,26a271cd2fdd034304566deb6bcfdafe,0.9738,2,3,2,True,0,train,val,True,1200,561,
6e694031c3e263b2f9da1aa122897266,efffcaf09935e68555f74277c387220a,0.9738,3,4,3,False,4,train,val,True,232,1260,
10cb295e2db9ac2cd1f32523b401d95a,497cc4009e9ae310b54de6412cbf8b4a,0.9736,3,3,3,True,0,train,val,True,1255,1129,
6468063d0445cf082716fa830a507de2,700e60e9a130333e62698a1c4ef46fa0,0.9736,3,4,3,False,0,val,train,True,186,911,
7b167a43593cb2fcbdd16b62c995ea2c,f671b51a5aae50ac44610a380de4fdb7,0.9735,2,2,2,True,5,train,test,True,1307,1460,
0ace5c189da8f9f9d9cb92e85f142904,7ef96252ee2a1ffe86730b31a54d12bc,0.9734,3,4,3,False,1,train,val,True,1010,292,
48176351db9eb0d9066ac09610039e6d,b801c926e3101268f1b816bd658bcc2f,0.9734,3,4,3,False,0,train,val,True,1062,665,
1dd5d88d1e936e032ebb4840b46546f3,7ef96252ee2a1ffe86730b31a54d12bc,0.9733,3,7,3,False,1,train,val,True,1269,292,
1f86b6a526481bc5d2ca18d94f94f062,dd893039103b58fddb9e41b1ad099d91,0.9732,3,13,3,False,0,val,train,True,231,1032,
65bcc0e4ef30b49600530a2c5c5e8d14,71a3a451b367b93c6128e26c1516379d,0.9732,2,2,2,True,1,train,test,True,894,244,
4ba2c9a9103bbbaa575dfb3b888dc195,fca1f600d0d453a15d9251eb505523fc,0.9731,13,3,3,False,0,train,test,True,1382,1422,
3659fd7b7207e8a9c2595c04aef3587e,42cb31b9fc4dca6da8112c72600ce8e3,0.973,3,11,3,False,3,val,train,True,63,971,
1784ab09ff0d41a78a89e36226bf3eb5,9dc34fcfebf02fc4fac7a84a1c99ca5d,0.9729,2,7,2,False,1,val,train,True,48,1026,
26f57dc441fe3aeb40c8ab299e49137e,b8e52f4258cf7d069e9c5c2698e44e3e,0.9729,2,2,2,True,3,test,val,True,360,674,
7a1b601b146af835cef2bc71ea599c65,da2319b5a8f33c13bcf2380c25b78e37,0.9729,3,5,3,False,3,val,train,True,274,995,
8c8fc85ded58f6e097a0aca8c56c35e0,a17e3c28db1efe5c03c927e64399f6aa,0.9728,2,2,2,True,3,val,train,True,529,1220,
35590689349e29d6540a7c14f8a3d42c,bae29f6c79dd4b58689b3d7351a1da09,0.9727,4,2,2,False,3,train,test,True,474,691,
df599862faf0cd78b880fa7f6644407e,f051273bd75ea902b5a163fa772decac,0.9727,3,4,3,False,5,val,train,True,1055,1266,
06d4ebd3d0ee6d3514d07ccfba615def,3d8afdc0aaa84acf0f6dec7cc35415b7,0.9726,5,3,3,False,1,train,test,True,911,726,
9e1d450a04253ab097601c9934fb5e6a,a36b91d58c9dae658708fac3ae14b969,0.9726,9,3,3,False,0,train,val,True,986,498,
afe59339b8fe3ed8a390ccdf9030f6b1,e8544928657b8fbb4fa8d67682ae4ee7,0.9726,2,2,2,True,2,val,train,True,599,1168,
58d13c5b7c1d86814e7a9451fef0d9d5,7b0067248bea443b4d8c135e4b626028,0.9725,4,2,2,False,3,test,train,True,139,341,
1784ab09ff0d41a78a89e36226bf3eb5,67bc9a23a87b07457464561b22515733,0.9724,3,8,3,False,1,val,train,True,48,911,
026081211406349c85c3e5b4fc4b6ff0,5252182ded15f6179aba4b367c0215dc,0.9724,10,2,2,False,0,train,test,True,117,429,
94ad34192c1c300da99532bb24fd7bf3,fab1d411448d12a807e3ded857ddeaed,0.9724,3,4,3,False,0,val,train,True,406,1397,
96c62d8799651597247be49bf790d585,aaef504823a0043ebc6063bc805baa38,0.9724,19,3,3,False,0,train,val,True,470,593,
30d1afcfeaf59da8e4f527df77e92aa9,68825cc3e6cac82167c6c7ccee576b2b,0.9723,2,2,2,True,2,train,val,True,1168,599,
760f8945b00dc239d46a48bc34909eb6,85b2c32f16826bea58d82dfd39b6d3e2,0.9723,2,4,2,False,4,val,train,True,279,862,
30d1afcfeaf59da8e4f527df77e92aa9,afe59339b8fe3ed8a390ccdf9030f6b1,0.9722,3,3,3,True,2,train,val,True,1168,599,
3e5bee4290a7ad08e44522df7ed98763,cf811d5af1bb735310b1a7775cd2ee9f,0.9722,4,2,2,False,3,val,test,True,674,899,
134160267beeb22f782f92b728cc5abd,d451ec7b30cdbf594212c1bf7549a212,0.9721,3,5,3,False,1,train,val,True,500,947,
cfdcf7c4d670c85e658b4286c7807bed,d2e99d97cea5ba41f7d2e30a221adee4,0.9721,3,2,2,True,5,train,val,True,903,932,
0ac7f7d40895378ae07006510aaca8de,aa3d385635fdfe96d5194d0f0991b565,0.9719,3,5,3,False,0,test,train,True,9,1083,
8520e95c49091fe5676146fcedfb3793,8d69850040ca70588cb37e7f0bc70390,0.9719,2,6,2,False,0,test,train,True,1421,554,
0c841425404c56ae1115867cd37a2bdb,dae2ef34973d1b237cfd6746923e2eec,0.9718,2,2,2,True,0,train,val,True,10,1031,
1d93f2db56a439730528e78b5a8c6c65,84ddef23ac361e8977e4673ac116b6dd,0.9718,2,4,2,False,0,val,train,True,406,1389,
98eff279b10d8e5186e406ef91de2f3f,dccae7781a918f447f55273efa464ff0,0.9717,5,3,3,False,0,train,val,True,1026,1023,
2afc7c9cd96699ecb7d88a8a6f387628,b65129204d2b429ad4612276e2d2dd84,0.9716,3,9,3,False,0,test,train,True,42,1223,
1a09038fa60de37d48cdec28144cf98e,5f3435341b61628b1e308362c52a9460,0.9716,4,2,2,False,4,test,train,True,1131,1185,
295f60908595262b10bfd016661819fd,cab3d02d82d55997dfabc99e84516de7,0.9715,2,23,2,False,1,test,train,True,83,1298,
1c63335d177c12cab2b3baa2ccf4c328,8b1293493098a9bd999ef0c0dfdee134,0.9714,2,2,2,True,3,train,test,True,101,447,
9c848808794be6026fe4166547f40293,9df49d12d43e709cb6b1f4c5878e8917,0.9713,2,7,2,False,2,val,train,True,888,1472,
1d93f2db56a439730528e78b5a8c6c65,7bed5662489bd913da7e9792f715c1ed,0.9712,3,27,3,False,0,val,train,True,406,1061,
0cc2bae4e8f80349576daadd44897024,aa3d385635fdfe96d5194d0f0991b565,0.9711,3,7,3,False,0,val,train,True,665,1083,
2be8c910fac204ab798528ec628e7495,6c1ff5288e07d67d22055a334df30094,0.9711,2,4,2,False,5,val,train,True,111,1061,
4b6ed79396add87dafb5a4d6846c6972,b8e52f4258cf7d069e9c5c2698e44e3e,0.9711,3,3,3,True,3,train,val,True,271,674,
1dd805b0572515c3eac56564cddf181c,5af8bba8cb7a8edb4bf416d4dd4d5228,0.971,5,3,3,False,0,val,train,True,97,804,
26a271cd2fdd034304566deb6bcfdafe,ec89dabdd536396aaad4020141dafbde,0.971,7,2,2,False,0,val,train,True,561,1217,
5ca13bda1c8a128938a5cb71e54f692c,aa8907057bf38a2c03b3e3a6cb72f9dd,0.9709,2,5,2,False,1,test,train,True,400,1170,
69ab9dae3fcb1bcb79683b95e4836252,80b59404657a6290a06e8902430be7fc,0.9709,2,2,2,True,0,test,train,True,432,1385,
12691983b96a9e8c7bc067fdd48b8d97,aa3d385635fdfe96d5194d0f0991b565,0.9708,3,8,3,False,0,val,train,True,472,1083,
2d476f44e80b5536c71dc3793b0a2bc9,8f8d20fc6e9b6aa3b145e359e104eac4,0.9708,3,3,3,True,3,val,train,True,173,1298,
0cc2bae4e8f80349576daadd44897024,f70104d45bb1a6177e3a6826b0eaa030,0.9708,4,3,3,False,0,val,train,True,665,1062,
0465f4b248a57b710e02d636d595bf94,760f8945b00dc239d46a48bc34909eb6,0.9707,3,3,3,True,4,train,val,True,862,279,
7ac75b11d166936c552ce33e170afd4a,eeb26ba1afa30bbf4f88d8c38b42c313,0.9707,17,3,3,False,1,train,test,True,911,1242,
479c67e60b431a189c31e65be43f3741,f4df16a55805e69f7013d79eca0c46a7,0.9706,2,2,2,True,5,train,val,True,123,1324,
7788ddca67e3faf4da246eacc60675a3,b30b0cebda476de77bec3bff2374cf68,0.9706,15,2,2,False,0,train,test,True,636,1288,
f5096797acc9f645ea8674d77ca2418b,fb39e72460b6da6ea5e9c8efbee2c78c,0.9705,2,2,2,True,1,train,test,True,386,1403,
668c4850b2f821babc8ff8c7e877b9b2,f5096797acc9f645ea8674d77ca2418b,0.9704,2,3,2,True,1,test,train,True,1403,386,
8596a2f7e68a0e11a5653fb2457db08f,f2e0a29fb9a4f366cf2cd9c3e535e852,0.9704,3,3,3,True,5,train,test,True,1179,1297,
1eac3c664f2d65ed9aa575797fa5a682,b8e6ad3dfea934569a772b61c88202da,0.9704,4,2,2,False,4,train,test,True,404,895,
6b356b6a114a7663f2dbe960f217601c,b8e6ad3dfea934569a772b61c88202da,0.9704,8,3,3,False,4,train,test,True,327,895,
1abb6882a5cba3d9c166736825bbe101,ab1f4d1aa956de906fa909f5fee8fbee,0.9703,3,4,3,False,0,train,val,True,1200,561,
33ec4577b716c843eb1224b41204aab2,9793c3c2317f38143d21a5187bb35652,0.9703,2,3,2,True,2,train,test,True,1319,421,
441265c6b4598e9bcd10bc10eb6293cc,da2319b5a8f33c13bcf2380c25b78e37,0.9703,3,9,3,False,3,val,train,True,274,995,
8e03d0bfa55336cccbfa604e66a878fb,c53a5bd984d2bd2b8b3d0529b081fbcf,0.9703,2,3,2,True,2,train,test,True,804,799,
56deba64468141b0968ad8899b121b15,eb2267a9e6ad63f9c9d1386b8688ccc0,0.9703,15,3,3,False,0,train,test,True,1026,1198,
1b176c9049260a8843b97349ccdd3eb7,ee1605f1c4e68d7a52a07fae529e14f8,0.9702,2,3,2,True,5,train,val,True,1318,1232,
7c0c6effa413bf976a309753c40f8bbe,ab1f4d1aa956de906fa909f5fee8fbee,0.9701,2,5,2,False,0,train,val,True,355,561,
a09c9526e3316571648552d78ac37c2d,df599862faf0cd78b880fa7f6644407e,0.9701,3,4,3,False,5,train,val,True,1266,1055,
c2edf539162ecaea59933196e84de2f5,c4b83afb97bd83a7f8d83ce85cba4dc5,0.9701,5,3,3,False,1,train,val,True,445,851,
09320344c2ed4da7bdf50d9f03b9e0be,f4df16a55805e69f7013d79eca0c46a7,0.97,3,3,3,True,5,train,val,True,1281,1324,
69ab9dae3fcb1bcb79683b95e4836252,765ac70e1d7527d06ecb6f5b7fb2247a,0.97,3,4,3,False,0,test,train,True,432,1385,
1d93f2db56a439730528e78b5a8c6c65,b828e67db7b84d0d18b5498c8c185874,0.97,6,2,2,False,0,val,train,True,406,911,
da15226ed2a9ca5a83e831a9c57f5380,dae2ef34973d1b237cfd6746923e2eec,0.97,2,3,2,True,0,train,val,True,1075,1031,
f13cd8ec6e6fde523a0a065b62086d3c,f6a5026c3875a441ac93945bd4ba9c18,0.97,2,2,2,True,2,val,train,True,1278,1345,
5252182ded15f6179aba4b367c0215dc,87fe5740deb9d4ef755cc157ff710cef,0.9699,3,22,3,False,0,test,train,True,429,1183,
1f1440204eba45ff4f999795c7d52040,b30b0cebda476de77bec3bff2374cf68,0.9699,10,3,3,False,0,train,test,True,1127,1288,
a2c484cd17f6001e7a0dae4f2f57039b,e5739e452d5b7c5e68c4171ece2557e3,0.9698,3,16,3,False,0,val,train,True,493,911,
b30b0cebda476de77bec3bff2374cf68,e63d457e162ff5875c8475210734f704,0.9698,4,3,3,False,0,test,train,True,1288,1137,
3ee71993acdc2ab83790ea25fafe319d,5ae2d48a5907763cfad33ce3a1d911f4,0.9697,2,3,2,True,1,train,test,True,747,147,
69d0aae1adb4068191d4b119e45bfddc,a08bb66f1450552e0f8d32b4e6a89254,0.9697,2,2,2,True,2,val,train,True,1006,476,
441265c6b4598e9bcd10bc10eb6293cc,72a669da75812594654ab2097000c32c,0.9697,4,3,3,False,3,val,train,True,274,995,
a7d18581b5402766aacf91d52e6143eb,ba8d55330e6d36ab991e3bf8e4e489b2,0.9697,2,4,2,False,1,test,val,True,531,688,
210411ec362d79a5e34b8b0fdbd60745,798b6d2cc34c30279d4155deebf16647,0.9696,2,2,2,True,3,train,val,True,1358,269,
196f3b66be713d67db88cd412ed8768d,a44fd7663c5ae9bfd375e6dc75b497f6,0.9695,9,2,2,False,1,train,val,True,977,924,
c707c255c4694985f6f68331571bc656,cf811d5af1bb735310b1a7775cd2ee9f,0.9695,6,3,3,False,3,train,test,True,1118,899,
0f958c8bbbc828b2e043e49ea39e16e2,e573d5bd029fefceb5463707eb41a03a,0.9694,2,2,2,True,4,train,test,True,1185,1131,
0febce723014e9ed2afe3bf5325775cc,4d1dc70143798d122476599ffc3df68b,0.9694,2,41,2,False,0,test,train,True,17,911,
6210ddaf9f3e233411579da0ea9a0484,a02eb88c0bce1422d1173ac45db29666,0.9694,2,4,2,False,3,val,train,True,173,474,
3e5bee4290a7ad08e44522df7ed98763,92c47e36f3e35b80eb8798558ad37e10,0.9694,5,3,3,False,3,val,test,True,674,899,
b5ad6c0446b987d1f33df121e2512331,befda4b7504b03a7d5e9ca92f2757c41,0.9694,2,3,2,True,3,test,train,True,859,894,
847db624a7a975df11caca3c97743359,d0461ccb7f1b70ee7dc3188422e246d9,0.9694,10,3,3,False,0,val,train,True,320,701,
714fe03e012bb674fd7f3fc8f6763c3e,e52c5685f6ebafcd377918e583486cb8,0.9693,19,2,2,False,0,train,val,True,117,1129,
17e370eedaa11c265e5cabb3601a2fd2,72aa3eb389001c2e3ceeb58e7b48dfe9,0.9692,4,3,3,False,1,train,val,True,966,947,
a4759f06b88c45d2153555b988ac52a8,d8b48c0404394e83af61c15ad7eea1a3,0.9692,2,51,2,False,1,test,train,True,606,1189,
1090bc9626ae4dec99207c3b64a1a050,7d86f8993e77d4f99ed19b2965d5067d,0.9691,2,2,2,True,2,val,test,True,325,284,
26a271cd2fdd034304566deb6bcfdafe,7c0c6effa413bf976a309753c40f8bbe,0.9691,13,3,3,False,0,val,train,True,561,355,
dae2ef34973d1b237cfd6746923e2eec,e0ca5e9b18d9d563d7b6a4fe3d919f89,0.9691,5,3,3,False,0,val,train,True,1031,1075,
0febce723014e9ed2afe3bf5325775cc,e0c370969267c34db431130a881e72f4,0.969,3,26,3,False,0,test,train,True,17,911,
6fe956eb5739f0877752cba783828cd2,bcadcbc70af9a0f20cdbfcb2e6689b6c,0.9689,2,2,2,True,4,test,train,True,237,1305,
8bc819037a6ab2932c227d1ac800102f,c830e13bcc901a882b0107569025d583,0.9689,12,3,3,False,0,train,val,True,370,828,
0f958c8bbbc828b2e043e49ea39e16e2,1a09038fa60de37d48cdec28144cf98e,0.9688,3,5,3,False,4,train,test,True,1185,1131,
295f60908595262b10bfd016661819fd,390b6c326276221cb3659d2132fb7d3e,0.9688,3,2,2,True,1,test,train,True,83,1254,
601ffcbed401250430f367a898cb3e3c,cbff820f299b577e2af5ed136b6ef6eb,0.9688,2,6,2,False,5,val,train,True,1232,1318,
8546b73cb1496ba85aed909ee151290b,9c848808794be6026fe4166547f40293,0.9688,7,3,3,False,2,train,val,True,1472,888,
a9de2f159602a6c08dde0551062fb74b,d2e99d97cea5ba41f7d2e30a221adee4,0.9688,3,3,3,True,5,train,val,True,903,932,
33deab5742944fa2f58e248c572f04d1,b7540ad7f233e9c19a6cb083945072fd,0.9688,11,2,2,False,0,train,val,True,162,660,
921e586c2b5c9ac5b164f2229f7ea9f6,ba4a1e8412d6376304ae051d32184ce6,0.9688,6,2,2,False,2,train,val,True,1472,685,
95cef4ca534e7e446accec285266416c,dfae643568b01d1f4ad5d86bac2f7994,0.9687,3,2,2,True,2,test,train,True,412,1059,
8b6bc283a0d345aaab935989639523eb,e52c5685f6ebafcd377918e583486cb8,0.9687,10,3,3,False,0,train,val,True,879,1129,
2902a2f38703f59632892819a1c72377,e2c101f2e420716fe53e2c61109faddc,0.9686,6,2,2,False,3,train,test,True,911,1099,
3e5bee4290a7ad08e44522df7ed98763,fcf3ef06a3601448061b7b1adda97b89,0.9686,8,3,3,False,3,val,train,True,674,69,
55dae64aaea4bd532b6889d0632517de,f671b51a5aae50ac44610a380de4fdb7,0.9685,2,3,2,True,5,train,test,True,503,1460,
3e6e9a534a8d92999185e99dc4293bee,af41a64b57d2f3244cab6f912383a6c1,0.9685,6,2,2,False,0,train,val,True,679,593,
30353f220e31776ecc7610f803d9b6d4,d451ec7b30cdbf594212c1bf7549a212,0.9684,2,12,2,False,1,train,val,True,70,947,
