image_id,cluster_id
c6d87f56f56c456d38f3b6967eb21eab,14
c9600084eb770e9fd5eecff32421e4d3,4
cb0a506d82d41888c1e0b1d54649a53c,6
cb56eeb149fe1d3df30a43e374d7ab94,9
cbe58732cb94078090d6a35b712e19d8,8
cdcf73225944d4e87e64f178371d897b,6
cf19c18868fc35dfd2628358ca4b73f1,8
cfdac1ca5172b91340648a9c1ed43a65,6
d2e8ff5257ef522c1d7bef30c96d06df,2
d49075075de98ba225b3306bc8cfca44,2
d6554a3cff6d6ceb5597382238954aa1,1
d8530375294e4c94c9c2aa2c7f79c13c,35
da84230d35b22a900b153d5cb969a7a7,2
e241df65ca9194cb95c86f93ddd85bf7,1
e29f49849de6ff182d115fe2aa6cac3a,1
e3a86173361dbf0574a3781d540b5259,3
e3f0542a702cef736b649df9a3a98e8c,28
e4229a7cea9d61ea5485091142e2fd3e,5
e47409feff05e7815c2908a2af47746b,3
e830b99a9330e3fa4feee8ac6f219083,7
e956c0c77d87f17644ec64ccd2abd66a,12
eb62229279cd8ab73c9ca81171f14762,28
eb9d4025d77205c0dda3d5f7431ce1b8,2
edb53390a53397b29cb85e21501b8efb,1
eea0cd8ab449057ce50b7d411b63d6e3,34
f02b9020d7bc40972be3d30d13b745c4,26
f0aa8148ce45747389ea072aaaae57ae,2
f344628cd3bfd6e1cd80456bca9358ab,1
f43994e34472b340e138b082c25d01e7,11
f48064fda016dbc4391c353afb9e61c0,9
f4fb736869313562fdc74a65b7b9eb2a,4
f52d96b6efd32aa558588dd2e8fe1dfd,8
f815e7ebafbbfa2578e3abadc8a5d15b,10
fa185cbfa3c6bb40a7dd0397b88539d9,7
fa741c964934cb194701d6630356adb0,1
fa74ab756f01ab6b562643955d297cba,33
fb01a0a69517bb47d7f4699b6217f69d,31
fd34d5fda33d3e8281837a2a4511f7fd,2
fe025faa4c6e6de2a71f964b56de7c9c,3
fe354e2b6f25e4f4110aed552eb55fc5,25
fe6984b9e99ee331bb510c61f9e5ccd4,1
