cluster_id,n_members,keep_id,drop_ids,keep_n_patches,splits,cross_split,isup,gleason,image_ids
70,8,369a3711e3d38086b74319999fcf77f5,2be0fecc99253c5c199d478c1f655579;6ee0840e4cec3865e228b5f96fe0b188;b0b38a63ab55065b25c3f5b839c8a72e;bc8ca8636656c10658685c587f893dea;d3d56ee887a17cd40e7b6cf630c8107c;ea5816321370d9d813bb7107c2ed0074;fe1f503420d2d5c4a723ef6c2e7efb1d,144,train;val,True,2,3+4,2be0fecc99253c5c199d478c1f655579;369a3711e3d38086b74319999fcf77f5;6ee0840e4cec3865e228b5f96fe0b188;b0b38a63ab55065b25c3f5b839c8a72e;bc8ca8636656c10658685c587f893dea;d3d56ee887a17cd40e7b6cf630c8107c;ea5816321370d9d813bb7107c2ed0074;fe1f503420d2d5c4a723ef6c2e7efb1d
71,8,17364682bc0141eab397828f49642a60,06977be07ef2afb3ddfa7733f0c04917;0e65f90aa2b3fd3e49982839aa381583;1d432fcf31474114a1f5f12268b9a1ab;4502c2c9c9c1041564225b9d8fad13c1;97e55431d1082822b2aee62193b952ed;9c5229cbfdd9234f73a514b0a2f0ad4b;9e3843c81ae2badfb22d9a46813d4470,51,train;val,True,0,negative,06977be07ef2afb3ddfa7733f0c04917;0e65f90aa2b3fd3e49982839aa381583;17364682bc0141eab397828f49642a60;1d432fcf31474114a1f5f12268b9a1ab;4502c2c9c9c1041564225b9d8fad13c1;97e55431d1082822b2aee62193b952ed;9c5229cbfdd9234f73a514b0a2f0ad4b;9e3843c81ae2badfb22d9a46813d4470
72,8,6549ae500a4a645d44efb7a611c5ab21,2102cdaee1284c7da24effe67551ee87;8dd1d17e02123008c58b1ab3652a613f;a8a951c084f704fb77c2a3ab1c21b474;ad44ed31dfb798af63c0d7a8df2fe1c9;b35a329a109e2b210463e639c8141f39;be85e2b33823aeebfbd13873dc207ddc;e8d79e4c9b85f70b581e3403241672e5,176,test;train;val,True,2,3+4,2102cdaee1284c7da24effe67551ee87;6549ae500a4a645d44efb7a611c5ab21;8dd1d17e02123008c58b1ab3652a613f;a8a951c084f704fb77c2a3ab1c21b474;ad44ed31dfb798af63c0d7a8df2fe1c9;b35a329a109e2b210463e639c8141f39;be85e2b33823aeebfbd13873dc207ddc;e8d79e4c9b85f70b581e3403241672e5
73,8,d6fbeba66fdfeaf442343cfd6f844a77,09d4be69a2330cd49298bf30d29cc4e5;2b1ea815af8da3697c64c682855f9b3b;715ab49e9cccf79ffa3987714d818f79;88591e92de81634c6b9870259b25d59c;bb25d84b4c461fad076a63b4a048c811;c18eeeb86a7027e6d3c7ca400d75c8e8;c29a172145a30a79b05c6f0216a1dbef,147,test;train;val,True,0,negative,09d4be69a2330cd49298bf30d29cc4e5;2b1ea815af8da3697c64c682855f9b3b;715ab49e9cccf79ffa3987714d818f79;88591e92de81634c6b9870259b25d59c;bb25d84b4c461fad076a63b4a048c811;c18eeeb86a7027e6d3c7ca400d75c8e8;c29a172145a30a79b05c6f0216a1dbef;d6fbeba66fdfeaf442343cfd6f844a77
74,8,64c7193405afef922cfda4c959bfd28f,3381ea445ec8554a5cb3e7d3153fc0c1;33b1d7be5b5cc5230d25191ea8305d9a;340236fc3587d38939e3dd669bbfe3e8;9d98eb6c404f3c3d7191a8db379d2994;bd6a39de18227e44730c228369cea0f4;bfc0f3be45e3eff66989c2553cf39436;f6fcdf840d82229dee867cc75a7dd721,161,test;train;val,True,3,4+3,3381ea445ec8554a5cb3e7d3153fc0c1;33b1d7be5b5cc5230d25191ea8305d9a;340236fc3587d38939e3dd669bbfe3e8;64c7193405afef922cfda4c959bfd28f;9d98eb6c404f3c3d7191a8db379d2994;bd6a39de18227e44730c228369cea0f4;bfc0f3be45e3eff66989c2553cf39436;f6fcdf840d82229dee867cc75a7dd721
75,8,95ceba057707ca5624053399bd2f14db,29d70921c5346342007bb79603c58303;337243a9bd89017f962fcd5bf3cf9d64;53c8c3db02019962528b008bd8594ef5;cd636fee80a3058dcd3f5428d997a153;d3c90e3b04360cdbeadad04e64cd5e2c;f0a73ffe7d71950702ebd0ef7efa86cb;f9caed448e138e702ee5a2c906a671fc,147,train,False,0,negative,29d70921c5346342007bb79603c58303;337243a9bd89017f962fcd5bf3cf9d64;53c8c3db02019962528b008bd8594ef5;95ceba057707ca5624053399bd2f14db;cd636fee80a3058dcd3f5428d997a153;d3c90e3b04360cdbeadad04e64cd5e2c;f0a73ffe7d71950702ebd0ef7efa86cb;f9caed448e138e702ee5a2c906a671fc
76,8,01c669f3f6a18197285bdf357b45d477,2ab52c52ba33baff64d3de0c8e10bf82;45910500e405b732fd6c0d50c921e3f4;68825cc3e6cac82167c6c7ccee576b2b;86a2e973602ec382660c072fa42ca670;afe59339b8fe3ed8a390ccdf9030f6b1;b460d9967f78062cb285d1bf3bb62d6d;e53ec7956c1284b527ad242b70c37b37,179,test;train,True,2,3+4,01c669f3f6a18197285bdf357b45d477;2ab52c52ba33baff64d3de0c8e10bf82;45910500e405b732fd6c0d50c921e3f4;68825cc3e6cac82167c6c7ccee576b2b;86a2e973602ec382660c072fa42ca670;afe59339b8fe3ed8a390ccdf9030f6b1;b460d9967f78062cb285d1bf3bb62d6d;e53ec7956c1284b527ad242b70c37b37
77,8,6811459c1bf02a325e7b475a97abbdb5,2af2dd6d1fb4012582c9932ab3147492;508c23fef3f24c9301f5b02aec0ffb10;573cdbd8eda0e7ccf8a1df177f1764cc;9761fb9e15e37b85ea603dbedd0db804;ae8098ce32f49e4b96dda2dd5e02db2c;b1d93623521ae08ba520855009692683;cdb4764932947b3b48d87c8322015b17,49,train;val,True,4,4+4,2af2dd6d1fb4012582c9932ab3147492;508c23fef3f24c9301f5b02aec0ffb10;573cdbd8eda0e7ccf8a1df177f1764cc;6811459c1bf02a325e7b475a97abbdb5;9761fb9e15e37b85ea603dbedd0db804;ae8098ce32f49e4b96dda2dd5e02db2c;b1d93623521ae08ba520855009692683;cdb4764932947b3b48d87c8322015b17
78,8,13e0eb0bb20ae07ee32ce2d6a70ed9ff,06bf945aaacb9a67d9f2439d9a7d73ea;584dd714859c8d8ac50860e98f36075b;8ef59d7cb53bf92b5c589f7377edb0d7;a0150f4d6d9f6f3b2b5a240b099df000;d1a9750fbe2b10c8d52dfddf4cb1bde3;e49bc96b36f660bf3aa433ef119066eb;f00ec753b5618cfb30519db0947fe724,160,train;val,True,2,3+4,06bf945aaacb9a67d9f2439d9a7d73ea;13e0eb0bb20ae07ee32ce2d6a70ed9ff;584dd714859c8d8ac50860e98f36075b;8ef59d7cb53bf92b5c589f7377edb0d7;a0150f4d6d9f6f3b2b5a240b099df000;d1a9750fbe2b10c8d52dfddf4cb1bde3;e49bc96b36f660bf3aa433ef119066eb;f00ec753b5618cfb30519db0947fe724
79,8,9800153dd8ccd37fc5453f60e6c77a78,701a0c1cbb556697609f4f45a8c0a7c7;79c8f162b231aebb6c639afa3f4395ae;84d0f286cb639e7ceb3b185c62776100;a1f37b944f9590270b529e9f83610ebb;ba63dbc59e855af29d4ebab53063d296;bc11ea87ebca072c04df741c44aeafb6;ef9c72d529806d9ba341476d4c159838,201,test;train;val,True,5,5+4,701a0c1cbb556697609f4f45a8c0a7c7;79c8f162b231aebb6c639afa3f4395ae;84d0f286cb639e7ceb3b185c62776100;9800153dd8ccd37fc5453f60e6c77a78;a1f37b944f9590270b529e9f83610ebb;ba63dbc59e855af29d4ebab53063d296;bc11ea87ebca072c04df741c44aeafb6;ef9c72d529806d9ba341476d4c159838
80,8,819d52e0a7764b66c39bc55875e71ba8,0280f8b612771801229e2dde52371141;117322874280c217ec357f6de7b5c77f;2ad0f2857a4552a25127205fd04a5e9f;7ad575414ac3516485d5ed13602aa8b8;81862fbd04fd29d4ce360c92e7663b7f;84c489d89dcbf2ceeba8a30147b9e79b;b0b8b9f98e54aefbf88c4fca02fde51b,131,test;train;val,True,1,3+3,0280f8b612771801229e2dde52371141;117322874280c217ec357f6de7b5c77f;2ad0f2857a4552a25127205fd04a5e9f;7ad575414ac3516485d5ed13602aa8b8;81862fbd04fd29d4ce360c92e7663b7f;819d52e0a7764b66c39bc55875e71ba8;84c489d89dcbf2ceeba8a30147b9e79b;b0b8b9f98e54aefbf88c4fca02fde51b
81,8,70b8788b7d72841a18ebf2e47e70e24e,7624415370e093d21a25464df6b3fbff;7a037cc442f5e4795192c1631d5af535;898c2d26d40846143d477f1b625971a1;a7d5887200c7cea7046aa1adad829a1b;c00da4f9d10e27d80164b132d0959666;cae077a0259202d61eaf7f10424b148a;d54603c7b6fda2615c5576d137c750c4,119,train;val,True,2,3+4,70b8788b7d72841a18ebf2e47e70e24e;7624415370e093d21a25464df6b3fbff;7a037cc442f5e4795192c1631d5af535;898c2d26d40846143d477f1b625971a1;a7d5887200c7cea7046aa1adad829a1b;c00da4f9d10e27d80164b132d0959666;cae077a0259202d61eaf7f10424b148a;d54603c7b6fda2615c5576d137c750c4
82,8,85537a74e1872569f03e0fed5e8fb9eb,276ed80762773462f05abc10da5228c8;55c0eded30c834f91a4a717776f781e2;5f8e07348acca9f1d02c329f4efb7516;768c8df7881cfb1cae96959206e73732;78b2a52265722810be3fc2f3a562630c;c7e47afdac1930aadc6630b2ffdb161b;ce8f7d335ba01839ce10eaff44daff42,200,test;train;val,True,2,3+4,276ed80762773462f05abc10da5228c8;55c0eded30c834f91a4a717776f781e2;5f8e07348acca9f1d02c329f4efb7516;768c8df7881cfb1cae96959206e73732;78b2a52265722810be3fc2f3a562630c;85537a74e1872569f03e0fed5e8fb9eb;c7e47afdac1930aadc6630b2ffdb161b;ce8f7d335ba01839ce10eaff44daff42
83,8,8c64bb74f16d4a6c44c9b8ea5dee8543,40b2f139228855bf5f5551e8bd872ef5;c6564f15d2fbe500571311dbdb16f78f;d2c9f2abe87b5415c2eb611e9f84ef82;d784ca64e4f87b880806a766f47119f8;d7efea6d37699c9a32b715c0062ed3b3;efe68e8f9916ca5966a513f11282491c;f805582bbe48523bb1f118e4acc4a6af,156,train;val,True,1,3+3,40b2f139228855bf5f5551e8bd872ef5;8c64bb74f16d4a6c44c9b8ea5dee8543;c6564f15d2fbe500571311dbdb16f78f;d2c9f2abe87b5415c2eb611e9f84ef82;d784ca64e4f87b880806a766f47119f8;d7efea6d37699c9a32b715c0062ed3b3;efe68e8f9916ca5966a513f11282491c;f805582bbe48523bb1f118e4acc4a6af
84,8,ac07fd6531d7536124ceab1990d5227d,046b35ae95374bfb48cdca8d7c83233f;33988246de7efa7c24f3c2224cba333e;58e94ef72ca17c465d4702f55e6c0751;59c0c23b3f025bbe58e86162602ec4db;7fdda19fabed1c92c7ec50194dc96371;e78a43e9cbfaae34ae2ad4929f2f8bcd;f367f6252be10578dcadc00ded89ecd5,182,train;val,True,5,4+5,046b35ae95374bfb48cdca8d7c83233f;33988246de7efa7c24f3c2224cba333e;58e94ef72ca17c465d4702f55e6c0751;59c0c23b3f025bbe58e86162602ec4db;7fdda19fabed1c92c7ec50194dc96371;ac07fd6531d7536124ceab1990d5227d;e78a43e9cbfaae34ae2ad4929f2f8bcd;f367f6252be10578dcadc00ded89ecd5
85,7,98c7ea676add7df440b5893d776f7a6d,4a40f41b4f18ff0dffee2fefbb19ed3f;ad0c63c4474947e4fe009453a3a6147d;bfd646393bd83e42b00c235a1082a6cf;c2e7580519b62b7183c1924211ee8603;c59fbad418d8ef56859463c22c4fae79;e887a1f9af6bc40cf27342b0644ae23d,114,train;val,True,1,3+3,4a40f41b4f18ff0dffee2fefbb19ed3f;98c7ea676add7df440b5893d776f7a6d;ad0c63c4474947e4fe009453a3a6147d;bfd646393bd83e42b00c235a1082a6cf;c2e7580519b62b7183c1924211ee8603;c59fbad418d8ef56859463c22c4fae79;e887a1f9af6bc40cf27342b0644ae23d
86,7,427f804eef0ccf5d4f858288d6399c7d,4b9990a038b7b29a12d971fb17372c2e;4f504a9f8f34f1c73dd28eff81be423d;9312f1d67670056fcff9a88c21a07e7a;c874de63fb72b5c081bbea4a5a7aae65;d41a958db22d495ee02e9672d1a3e532;dec45a32f96c496a9141d49617286870,57,test;train;val,True,0,negative,427f804eef0ccf5d4f858288d6399c7d;4b9990a038b7b29a12d971fb17372c2e;4f504a9f8f34f1c73dd28eff81be423d;9312f1d67670056fcff9a88c21a07e7a;c874de63fb72b5c081bbea4a5a7aae65;d41a958db22d495ee02e9672d1a3e532;dec45a32f96c496a9141d49617286870
87,7,cb56eeb149fe1d3df30a43e374d7ab94,0bfcecec15bb9bef0c8e59e2776ee3c7;452eca104841c28098e3ea454f9626c5;81750e90bca04910ea17513321e4a204;99cc5f5b9f1a86c14dc1970defb07799;f48064fda016dbc4391c353afb9e61c0;f6f6fd84d5275c9f2caa8edb15141607,177,test;train,True,1,3+3,0bfcecec15bb9bef0c8e59e2776ee3c7;452eca104841c28098e3ea454f9626c5;81750e90bca04910ea17513321e4a204;99cc5f5b9f1a86c14dc1970defb07799;cb56eeb149fe1d3df30a43e374d7ab94;f48064fda016dbc4391c353afb9e61c0;f6f6fd84d5275c9f2caa8edb15141607
88,7,b9ddd69769597b7910120d47e6a93f06,68a68e1d6735eed0b0aec0022e5da010;7537c295737f3a982a8859919c962c66;7889a8d815877c63420df1750271bd24;876d25db23f2f8ed17646186a30bb263;b9d2a95c3c0787c9faa9901d5b86c5a1;c2cbc885637a451cb0218a599e1169c1,167,train;val,True,3,4+3,68a68e1d6735eed0b0aec0022e5da010;7537c295737f3a982a8859919c962c66;7889a8d815877c63420df1750271bd24;876d25db23f2f8ed17646186a30bb263;b9d2a95c3c0787c9faa9901d5b86c5a1;b9ddd69769597b7910120d47e6a93f06;c2cbc885637a451cb0218a599e1169c1
89,7,69ab9dae3fcb1bcb79683b95e4836252,170c91c206648c545cfe69c718c059f2;29fe9e445bbf0c9d84aec6799cbba4a5;50a159e2f93214ad4ebb0ec9c5d428f7;673449b5e46a844b12b1599781684591;7d581d0082d6ee0a32165b0f8fe216d8;aeaa36ea58cad0b8121e59321ef1d41e,49,train;val,True,0,negative,170c91c206648c545cfe69c718c059f2;29fe9e445bbf0c9d84aec6799cbba4a5;50a159e2f93214ad4ebb0ec9c5d428f7;673449b5e46a844b12b1599781684591;69ab9dae3fcb1bcb79683b95e4836252;7d581d0082d6ee0a32165b0f8fe216d8;aeaa36ea58cad0b8121e59321ef1d41e
90,7,a8e773eff750fc08a72de5075c79474f,107694232cb071255848ddca5efbe061;282cb9398d53504c4fdae1e18d2dbfbf;5d28dc81420bc0e2ee5d3ac90d5153ef;b4e5cfe0f1616168c2a4524202c85327;da2502ee900c4fd5653d4433d05c8cde;dfae643568b01d1f4ad5d86bac2f7994,195,test;train,True,2,3+4,107694232cb071255848ddca5efbe061;282cb9398d53504c4fdae1e18d2dbfbf;5d28dc81420bc0e2ee5d3ac90d5153ef;a8e773eff750fc08a72de5075c79474f;b4e5cfe0f1616168c2a4524202c85327;da2502ee900c4fd5653d4433d05c8cde;dfae643568b01d1f4ad5d86bac2f7994
91,7,4271f838ba2f13ffd46386db5248e904,04875b8121c928cc022dd6f26a307d06;244d9617bd58fa1db73ab4c1f40d298e;4517c109e23cf3b572373db82b519303;6742b677fba068f36457e397969997a6;f5440c7daa9981ec029c955999443de8;ff17b5e40b6243196d7c47b36efa4646,236,train;val,True,5,5+5,04875b8121c928cc022dd6f26a307d06;244d9617bd58fa1db73ab4c1f40d298e;4271f838ba2f13ffd46386db5248e904;4517c109e23cf3b572373db82b519303;6742b677fba068f36457e397969997a6;f5440c7daa9981ec029c955999443de8;ff17b5e40b6243196d7c47b36efa4646
92,7,cd6173efcecbac38897f78131119e59c,5d3dfae104348251b8fbc99f8d39a601;5f95d17c869a6b92214c6b0c2aebfccb;633389c0591bdabc6cfd4b0d4fc245e4;76646d841dfa7b647f6034e73417c1ee;835061458363b1b59aeb19f3a5d3e879;fc0109ca8340e1cea99e1a26e40aebd4,114,test;train,True,1,3+3,5d3dfae104348251b8fbc99f8d39a601;5f95d17c869a6b92214c6b0c2aebfccb;633389c0591bdabc6cfd4b0d4fc245e4;76646d841dfa7b647f6034e73417c1ee;835061458363b1b59aeb19f3a5d3e879;cd6173efcecbac38897f78131119e59c;fc0109ca8340e1cea99e1a26e40aebd4
93,7,3625e6a2deae10c191a3fc3b6fde9fdf,067a25212e4e5b9eab412c274ae16df6;3772be22ed5750f38e3eb653984d9b02;383832c3a141f0c57b3bdef29a9b2b76;9cce5d6a3416ccdff35bc0a9eea562ca;b9f40a94c801f5b9b958da3e4e270975;d76c8504812e17930194614c25ba21fd,165,test;train;val,True,5,4+5,067a25212e4e5b9eab412c274ae16df6;3625e6a2deae10c191a3fc3b6fde9fdf;3772be22ed5750f38e3eb653984d9b02;383832c3a141f0c57b3bdef29a9b2b76;9cce5d6a3416ccdff35bc0a9eea562ca;b9f40a94c801f5b9b958da3e4e270975;d76c8504812e17930194614c25ba21fd
94,7,1d0aa0b565ed9bdbc6c1f4a00bbc4f3d,1f60da87c3550bcd5f66be5f76416113;2ec367872ec7245522d6090ae792d6e0;3a5a4b141bdcd49744bc7fbd4f880e22;5e7fe1a769c7dd7871d42af620720625;60a98f3fee72df06894ae985cd171b06;9aa99fdb2c7e1853041be93f9c36bbab,131,train,False,1,3+3,1d0aa0b565ed9bdbc6c1f4a00bbc4f3d;1f60da87c3550bcd5f66be5f76416113;2ec367872ec7245522d6090ae792d6e0;3a5a4b141bdcd49744bc7fbd4f880e22;5e7fe1a769c7dd7871d42af620720625;60a98f3fee72df06894ae985cd171b06;9aa99fdb2c7e1853041be93f9c36bbab
95,7,dc5d3a5a2d4d114e5e4f3cd07fb55fc1,1307e25950ec553c3d02121252e6a80f;1844a09c66e370d856cefb21f5e82be4;4c2b7a2554d56944bbd074abfd206134;516f93fd6b07daa49fb374122d2664c3;e43ca92b64685313429257eab0e43c9f;e7f7bfb6b18e3a24a3d5a6815d796bc7,152,train;val,True,2,3+4,1307e25950ec553c3d02121252e6a80f;1844a09c66e370d856cefb21f5e82be4;4c2b7a2554d56944bbd074abfd206134;516f93fd6b07daa49fb374122d2664c3;dc5d3a5a2d4d114e5e4f3cd07fb55fc1;e43ca92b64685313429257eab0e43c9f;e7f7bfb6b18e3a24a3d5a6815d796bc7
96,7,345f3e86a3dcc26dce73ceeacc5a4a0a,1e0379988bc494245913cc4bb10fb8c1;328cde17511e4aa4e62e485d4dc0cea7;3f232e619560395c4a99f858d76fb5d7;9d9d0a78364c5603e14a5a644bab65ee;bdae289bd86165f1bcce2bd2afeb136e;e13ad43ca93b81c3461ec29c1ca41106,97,test;train;val,True,3,4+3,1e0379988bc494245913cc4bb10fb8c1;328cde17511e4aa4e62e485d4dc0cea7;345f3e86a3dcc26dce73ceeacc5a4a0a;3f232e619560395c4a99f858d76fb5d7;9d9d0a78364c5603e14a5a644bab65ee;bdae289bd86165f1bcce2bd2afeb136e;e13ad43ca93b81c3461ec29c1ca41106
97,7,bd3d353c7d62399239bbf5ecd28f729b,291b2132e1fb9131478b8d691406874b;5d00686aeee37bfef71ad623ab4abaa5;6ea3b98851bd9ec5522236152b8998a3;7fe78b22d81b42d3bc08fca264448aa0;a579110fe1e670847d9d146404597750;f30cd94ed55475f5a660fed3cd4cda58,89,test;train,True,0,negative,291b2132e1fb9131478b8d691406874b;5d00686aeee37bfef71ad623ab4abaa5;6ea3b98851bd9ec5522236152b8998a3;7fe78b22d81b42d3bc08fca264448aa0;a579110fe1e670847d9d146404597750;bd3d353c7d62399239bbf5ecd28f729b;f30cd94ed55475f5a660fed3cd4cda58
98,7,f709898cdc46cedb62cef65b87039218,18eb49f9b5f5b45b3a93717ec10bfd7e;2b8cded1eb60bf2f5c97be4576341a07;8df43ebd07c7eb0eeac8346283dcb5f7;95c518378ccd428a5e674c3c668e9f2e;c7276eee7269730bae81a3fde5eb1668;fa2d82bc5c90ce86b88046cd216fc720,162,test;train,True,3,4+3,18eb49f9b5f5b45b3a93717ec10bfd7e;2b8cded1eb60bf2f5c97be4576341a07;8df43ebd07c7eb0eeac8346283dcb5f7;95c518378ccd428a5e674c3c668e9f2e;c7276eee7269730bae81a3fde5eb1668;f709898cdc46cedb62cef65b87039218;fa2d82bc5c90ce86b88046cd216fc720
99,7,85023ba8cc7feea2e418d107c5bb8e92,08a8d48ec979f002383f336d988673ca;22c2e58ea58b90066e98d86bfb8a0baf;2314634bf328b5e24bc7a5a3d82c08ee;7641921e308edd4de40ad5f83db43a04;847db624a7a975df11caca3c97743359;eda92317b583435a810cac1dc7bb8025,186,train,False,0,negative,08a8d48ec979f002383f336d988673ca;22c2e58ea58b90066e98d86bfb8a0baf;2314634bf328b5e24bc7a5a3d82c08ee;7641921e308edd4de40ad5f83db43a04;847db624a7a975df11caca3c97743359;85023ba8cc7feea2e418d107c5bb8e92;eda92317b583435a810cac1dc7bb8025
100,7,f891dd5e1bd40f5d223dca5673bbf182,06fc0c8a36a83d5150fca83d5bbb2612;9f0d890a2dd6e2d2acde15c1fc6e649d;c3f6dfc5c801b1f2aed4c9e318bd015d;cd11306b822ad900babf0497b524d8d9;eab6d4eae42fed6ed8ce52aa6b313a1c;f1536f338e098d87b1164712aff106ba,173,test;train,True,5,5+5,06fc0c8a36a83d5150fca83d5bbb2612;9f0d890a2dd6e2d2acde15c1fc6e649d;c3f6dfc5c801b1f2aed4c9e318bd015d;cd11306b822ad900babf0497b524d8d9;eab6d4eae42fed6ed8ce52aa6b313a1c;f1536f338e098d87b1164712aff106ba;f891dd5e1bd40f5d223dca5673bbf182
101,7,87c2116787ff620957ecc95521bc3c0f,4d803d599e3aa34b4d4d97b0e3a6ff5b;91c2e90cf320a9e3cbaeee14fd3b44e3;a18b8758447c5791c60f0b1ae0f7a653;a59a439b05a88a8ed3210054269c7bca;c541704f5b5f35d974aab3378d11fd54;d9c9948c3c66446410dfc95adcafd115,162,test;train,True,3,4+3,4d803d599e3aa34b4d4d97b0e3a6ff5b;87c2116787ff620957ecc95521bc3c0f;91c2e90cf320a9e3cbaeee14fd3b44e3;a18b8758447c5791c60f0b1ae0f7a653;a59a439b05a88a8ed3210054269c7bca;c541704f5b5f35d974aab3378d11fd54;d9c9948c3c66446410dfc95adcafd115
102,7,ab106ca32e9155aa7e68eabef8e2ed59,6b69560eba8205a182f996d752402036;8001484017154333b90372d0055508b8;85b7018a9e5287342a1392fb02ce24a1;9e74e07bb8b89e8dd32057c623238f98;b4ec9258133fcb21d9c99fc2ae9d134e;c14beccd6b55d7b57cbc2304987b324b,229,test;train,True,0,negative,6b69560eba8205a182f996d752402036;8001484017154333b90372d0055508b8;85b7018a9e5287342a1392fb02ce24a1;9e74e07bb8b89e8dd32057c623238f98;ab106ca32e9155aa7e68eabef8e2ed59;b4ec9258133fcb21d9c99fc2ae9d134e;c14beccd6b55d7b57cbc2304987b324b
103,7,1c4653246dc78308252d47160786ad15,49a2ed9b6af2a48a788b9dd6066bdb0a;7c90a7a9ea4b644c26fa03ffd564676c;8d5860e10e09ee25e066ee7fb699453d;9716b5d2e13a28be3dc836134153720c;9a4ba048c62623465d6a7a0d8549a657;cbaaf646e582b153aa87262de00bd4a0,32,test;train,True,4,4+4,1c4653246dc78308252d47160786ad15;49a2ed9b6af2a48a788b9dd6066bdb0a;7c90a7a9ea4b644c26fa03ffd564676c;8d5860e10e09ee25e066ee7fb699453d;9716b5d2e13a28be3dc836134153720c;9a4ba048c62623465d6a7a0d8549a657;cbaaf646e582b153aa87262de00bd4a0
104,7,7eb79f3619425b7b26f3acb5de6c3fda,5f6b700d24076d52b81361befbc88af1;678662d4740c7fff8751b9c57bbf25a0;8b90a3312d9fc702a9ec8236e23065c7;9edf591d741baf346fc1ff0f42dd4ddc;a21ea7caca40bc45f043ed27ae2b573d;bebc85c00d7bbf56ebe048147b15ace4,174,test;train,True,2,3+4,5f6b700d24076d52b81361befbc88af1;678662d4740c7fff8751b9c57bbf25a0;7eb79f3619425b7b26f3acb5de6c3fda;8b90a3312d9fc702a9ec8236e23065c7;9edf591d741baf346fc1ff0f42dd4ddc;a21ea7caca40bc45f043ed27ae2b573d;bebc85c00d7bbf56ebe048147b15ace4
105,7,e2f04baa0bee5232b73ca726d29a870b,284dcd2d3d6d09fab242477dce6b69d1;376a68a1f7236d0fc5586d3d96442295;6ca9348a09b4bceff7a738ae8b37f369;90f40766a31a51bef3e27e361a65fbd4;eed22b80775127e0a2143e287d79c575;f0098375c984c08db1a94086d80e7f27,175,train;val,True,5,5+4,284dcd2d3d6d09fab242477dce6b69d1;376a68a1f7236d0fc5586d3d96442295;6ca9348a09b4bceff7a738ae8b37f369;90f40766a31a51bef3e27e361a65fbd4;e2f04baa0bee5232b73ca726d29a870b;eed22b80775127e0a2143e287d79c575;f0098375c984c08db1a94086d80e7f27
106,7,409d6815cecdf483be748a75c63c0b2e,0186f4811c9d089707d9dc7460160d88;0ace5c189da8f9f9d9cb92e85f142904;c4b83afb97bd83a7f8d83ce85cba4dc5;c55d70318adf126c5f91d224c00d2c01;cab3be5d1206bf586249afffb74ab846;fec79645cf3b92343f453b945916af29,154,train;val,True,1,3+3,0186f4811c9d089707d9dc7460160d88;0ace5c189da8f9f9d9cb92e85f142904;409d6815cecdf483be748a75c63c0b2e;c4b83afb97bd83a7f8d83ce85cba4dc5;c55d70318adf126c5f91d224c00d2c01;cab3be5d1206bf586249afffb74ab846;fec79645cf3b92343f453b945916af29
107,7,a3fcf7e4e09f8910e49ecc061b5d8c17,2071295e7aaa84c087939f5017e7f7b3;31e2791b5cab69a7ad81589bf9da9c4e;3482a1ac6b5279fb56a14504a6c9fed2;3b5b3a2cc026cf58cc19bfa66b4873e3;4ca21d08bb5a350a586fca9867943535;be2b21968d5ad6861b24d7ca54d44ad5,128,train,False,0,negative,2071295e7aaa84c087939f5017e7f7b3;31e2791b5cab69a7ad81589bf9da9c4e;3482a1ac6b5279fb56a14504a6c9fed2;3b5b3a2cc026cf58cc19bfa66b4873e3;4ca21d08bb5a350a586fca9867943535;a3fcf7e4e09f8910e49ecc061b5d8c17;be2b21968d5ad6861b24d7ca54d44ad5
108,6,3aab40b14fab46f52f53a5f85bf8ea34,2baf0e44d4c112ec9d268029638ea7f8;554970412cd2907b5a93ee5ec013965e;5f8b30f872042fe9cc2b0b312094f156;83b8997aa1ebef2e386f3daf89226538;8cd17fa38b5f8f3e658bfa55e45f509b,192,train;val,True,2,3+4,2baf0e44d4c112ec9d268029638ea7f8;3aab40b14fab46f52f53a5f85bf8ea34;554970412cd2907b5a93ee5ec013965e;5f8b30f872042fe9cc2b0b312094f156;83b8997aa1ebef2e386f3daf89226538;8cd17fa38b5f8f3e658bfa55e45f509b
109,6,a74b7e612f31cff7ed905e3c92ae83d7,35b3399925cc2f2f00d65c842b6cf536;7cda8336608881de4ecf64d5319721ec;954e9c58e7e2007d308584e35368996d;988c9deb4dc9996464fbccb6976dad1c;b97714e3e07e57a9bfc005fc830a1723,200,train;val,True,5,4+5,35b3399925cc2f2f00d65c842b6cf536;7cda8336608881de4ecf64d5319721ec;954e9c58e7e2007d308584e35368996d;988c9deb4dc9996464fbccb6976dad1c;a74b7e612f31cff7ed905e3c92ae83d7;b97714e3e07e57a9bfc005fc830a1723
110,6,6cf483d54bbae9d7fc1009a5e2cf782d,136cae2844e9f6fd15f09ccc9453e0b6;1d33889037497d32695ac48a786af6d5;2e8e1273e497a95810ed43ca7eaf09c6;3c01808e1ea1eba5f6cdd015c4738426;befda4b7504b03a7d5e9ca92f2757c41,154,test;train,True,3,4+3,136cae2844e9f6fd15f09ccc9453e0b6;1d33889037497d32695ac48a786af6d5;2e8e1273e497a95810ed43ca7eaf09c6;3c01808e1ea1eba5f6cdd015c4738426;6cf483d54bbae9d7fc1009a5e2cf782d;befda4b7504b03a7d5e9ca92f2757c41
