cluster_id,n_members,max_iou,image_ids
11,6,0.9259,65fc1018a8862bdbe4d8a063c3130a0e;6edc4da86334190089f6a093bf258ab6;7d5dbfb91ce9be33221e4ba9358326fd;82fbcd590d5506b7ce1122ee7159449d;b6084b84b97f67f4bd6adbf1fb74f2d2;f43994e34472b340e138b082c25d01e7
12,6,0.8899,16272df65f00bdc126b5ca32de2b3a6b;5456189d4e5c15a790a868b70fd25625;60a18d14b13eb21b56f3d3e77a315af7;6a43f7e8b37e4f8a63ba3f178ef78016;7a2980fb744ca6ea7a9b5d9fa4d838bb;e956c0c77d87f17644ec64ccd2abd66a
13,6,0.8921,321b013478d7d444ba897b75e9f71805;32291426a698e316ff990f4b93e27e98;464d35ac0644183c0891abde15a042c7;6e6c2361d595ec7d96bccb42051c0f4a;6e8abccc98b71d43a680d69b3f9af124;a72727c39add8982af8cc5b32822bb40
14,6,0.7557,2fb49b4bb80d5c1f3b5b2fc44fa8a763;30b055a2178ca6019b4d891dfe253e6f;51b9b885a29947706f22bc545238cb84;7baf8e46e8720b8b2d379d2ed3b776b2;8b0f143a34251629cd7c0d34743d3e63;c6d87f56f56c456d38f3b6967eb21eab
15,6,0.8223,35d511cc9aa867856fadbe6ebf464d78;7d3af9f4ccc93603028c8bcacf2d4dff;84405e9c0ebeae71e44866948dbb6e92;a53b780941263a252bea531c73f2294d;bb8c26c5d0ec96b601d3ac2bd4fb2283;d1766314b6c9a6f528f4cb6643798d41
16,5,0.8509,29fe9e445bbf0c9d84aec6799cbba4a5;50a159e2f93214ad4ebb0ec9c5d428f7;673449b5e46a844b12b1599781684591;69ab9dae3fcb1bcb79683b95e4836252;aeaa36ea58cad0b8121e59321ef1d41e
17,5,0.892,15a3396c7f121c19977fb8cf543da766;3cb4631d3f2db61bfa503633d37dc45a;5a89e95c1dfe4f320ac954517281f9eb;c4a30ab614d7d3e37e99434341191331;c4e0ad6ea862813515ef53b70ad8021e
18,5,0.8913,130e070fe606be39506ac1dc4bd7f5bf;1c8a65cafba1a82092bf5ff231205f71;69e6550df1d1713b0bde6c627c42deab;70d813b5e09d4fdac98c761c15c28a62;b57e87397f4281b1d3a918c7bd2c9e3a
19,4,0.7214,06a7dc123ee1cd1a88b5563bb332666c;462839866ad252b9bbf2c34be653745e;70fa73960db8729c176876aefff96562;ff1ca9ec7c9d1694dcacaf5176976967
20,4,0.8666,11987580ef3e38921af9931918c88a26;2230a7655194054d5b1d2b52998d1585;3858dedc8e091fc0315c50e7f8d74a56;b61a1c350af793cba5f2e936ed314627
21,4,0.7191,65bf2cc6f9ed1eed86b8e7a908efe834;93b69d2902a418c407b43b1da3248c8d;be4ed7eb6be88b0c859a7dbdea0c90fc;da610fb22e9ba742ebb7a9117b2f24cc
22,4,0.9313,2fd7cbd01f3cecb64e915a0a62121cda;46f1c6a77e6de339e042fbb6334ae713;878be7ee5bdda3b29e2417f6dc93af64;bd9022853225c1e8a46bc9eca27533f0
23,4,0.7014,2102cdaee1284c7da24effe67551ee87;6549ae500a4a645d44efb7a611c5ab21;a8a951c084f704fb77c2a3ab1c21b474;e8d79e4c9b85f70b581e3403241672e5
24,4,0.8832,1d33889037497d32695ac48a786af6d5;2e8e1273e497a95810ed43ca7eaf09c6;6cf483d54bbae9d7fc1009a5e2cf782d;befda4b7504b03a7d5e9ca92f2757c41
25,4,0.7557,5dfac783c03cb58f51dd856ecc2bc16c;aa96214fca7ea520191a2263f0ee6ac0;fb8886059879eaac70139336cb525838;fe354e2b6f25e4f4110aed552eb55fc5
26,4,0.9131,50467a6acf3c242827713dc6dd1b5836;55321af8983669e2145d69e518fbc54c;9b238129762edd83f472e5b3abf9e639;f02b9020d7bc40972be3d30d13b745c4
27,4,0.7621,58476708525d4b4fb5308d069645e097;5f712fa46f7c0d69e8d9a4b6cd9327bc;66dc57a3320d9abd25eaf8b74c07c7bb;7453f914420e9b89a68dae903210b8b8
28,4,0.7464,2268c3174c1c0890af7ae1bae4c8cd74;4ba91dfdc9e3dadbf2a947592ec3ac0c;e3f0542a702cef736b649df9a3a98e8c;eb62229279cd8ab73c9ca81171f14762
29,4,0.7467,0bce55d17bcc628e62c843a2420e723d;5dcd43e6710799fbb64f0c250a13d0ff;6aff87e11871f4ce9682eec497239c71;73f6bfb643e1d0d8d3868b7f1f0cd33d
30,3,0.8613,2d04835e3b30fd9dcf1fe23dfc9812d9;aaaf612f7fec8578ed03e4075b429a21;ef7e5ebd23757e3446d0bc4c47dc8e96
31,3,0.7293,53a053373822079628726191fc5b76d6;d2e99d97cea5ba41f7d2e30a221adee4;fb01a0a69517bb47d7f4699b6217f69d
32,3,0.8975,20295d0f4917e297c4827296397fbec1;a5694e9a3cdc76a58c9ad784e909abcf;b79a6f8a47e79bfc1dabc48c37d54464
33,3,0.8497,883da8599360fdc5f7ce01ec771b2e65;cc749cec9e37b3e141e62a6a33c6eaf3;fa74ab756f01ab6b562643955d297cba
34,3,0.8825,84f098dc3c4bbd751d9f5e66098bbeca;887d935886b409acc14fa55a3c7e05ba;eea0cd8ab449057ce50b7d411b63d6e3
35,3,0.8485,56a882d88e118dcb77a63bfdbdf0b716;57d82e5381a64e28e1daae58c9806ab5;d8530375294e4c94c9c2aa2c7f79c13c
36,3,0.7734,850b9fffc6972f75431db42dd07845a9;c4cde1827d4895957ca8507e37a3cf76;d676924aa4d2c3259e47e91955fe161f
37,3,0.7277,66197db203b87630238f7199434cccba;8b19e141c1741cb06bdff6bffc9503b1;d375f524d50db8fcf857eadcb70ef5d1
38,3,0.8928,6b4c77b671e8412d65773f9614816db0;dc10032bf598b0a3268074de4bb2d7b6;e10ebd20ef424d61222ccc5e97dcc76b
39,3,0.9432,5f554a63b2a187b75a1764282fbf10b6;6f50ffdccefb38de120dfb796577fd5b;b19b678ac181c02332d1ba7acb6ba436
40,3,0.9665,367f122e80bcd0bffc02f6a04c1d8234;9effeea56c413b92340b89d1240769c1;b5343f9567df8a68c3276f8d8cdcc6a5
41,3,0.8551,09a9f7497e6ba14eb0a12388ca17540d;a45c077803194bf256f58964f457d5cb;eea47f9bc6d774e29cd36167365775bf
42,3,0.9076,1c4653246dc78308252d47160786ad15;8d5860e10e09ee25e066ee7fb699453d;9716b5d2e13a28be3dc836134153720c
43,3,0.7326,05b09773ad1b34275f0b5adee3c650ab;294017fb97e4fec299eb8e83fd2d3be2;9a22abb1da9fc91bb8ae7b91bfe1451e
44,3,0.8099,49a2ed9b6af2a48a788b9dd6066bdb0a;9a4ba048c62623465d6a7a0d8549a657;cbaaf646e582b153aa87262de00bd4a0
45,3,0.7908,68a362123aff27d79dbc5284a948030c;8b126306391fa2af0f8bea265f2c9666;b4265cba12f772b5bb29989f775f8906
46,3,0.9322,6cbc6f7259cb45a4086cd584aec53857;94e121bc4a7091b881e8dd9b6c2be6b5;a21c88c3d7c1a95eec2fdc7300fdfee0
47,3,0.7583,1141ca7040f9f32bf84531cc1b1d9f51;30703edaf3bf39b0d04685f0f0a1d43b;620a6fbf50a7463ed0a8932782d7b969
48,3,0.9128,6a363e70baf98838b0093f9ae93052fd;7f8e10f3342e3763a4251fbde58ba92e;c614dc18ffa37f8007c2aead39e65342
49,3,0.774,773d5f35cb242573885d18d302a9157c;dbf09c7c30806ef30dca99273d05075b;e528d21e5e6c87a9a1579214f6ec345d
50,3,0.8819,63226114e772943ce7f8017d9f5d4b90;70f71c6fa7ad2baeaff157a299e276a0;df4146c2cb4e97d9c227bdd90d4dc6f8
51,3,0.83,7fa4634ab59a7832bc877fef162eacaa;a1f79e44db2ca88a3c1b330af1343d61;a48b27a0f0f78595b8d71a4b373acf81
52,3,0.733,1496bd10b5eb474af7b764aed67309ba;8596a2f7e68a0e11a5653fb2457db08f;ff80dfefc41b8863b476c5840f88fec0
53,3,0.7371,3eee912c7daba1d6c5c6968ef71b5570;6303244b26eef8e081298bfeac827403;c2f90bbc5200609817a0745279582e72
54,3,0.8182,2a837ababa0cb124818a3b4852244711;4c25d8ba4a2ecabe2b69b901c994e2dd;b8affdee909004e05802b957c7d6e61c
55,3,0.9231,2de0597cbb7af462bfdb7b1c4f935248;9d1bda4d28af5a9f5d1d96833cec1728;e9d628364cf51891028163e0cfca628c
